地图名称：Sydney_0_1024.map
算例总数：3650


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		62033		3.82843		3.8286		1		0		1		0		
1		Dijkstra		62389		3.82843		3.8286		1		0		1		0		
1		JPS		2241		3.82843		3.8286		1		0		1		0		
1		EDG*		25		3.82843		3.60555		1		0		1		121791		


2		A*		62211		1		1		1		0		1		0		
2		Dijkstra		63357		1		1		1		0		1		0		
2		JPS		10427		1		1		1		0		1		0		
2		EDG*		12		1		1		1		0		1		0		


3		A*		61997		2.41421		2.4143		1		0		1		0		
3		Dijkstra		63094		2.41421		2.4143		1		0		1		0		
3		JPS		744		2.41421		2.4143		1		0		1		0		
3		EDG*		8		2.41421		2.23607		1		0		1		0		


4		A*		67103		0		0		1		0		0		0		
4		Dijkstra		81077		0		0		1		0		0		0		
4		JPS		8		0		0		1		0		0		0		
4		EDG*		2		0		0		1		0		1		0		


5		A*		84779		3.82843		3.8286		1		0		1		0		
5		Dijkstra		74786		3.82843		3.8286		1		0		1		0		
5		JPS		17198		3.82843		3.8286		1		0		1		0		
5		EDG*		10		3.82843		3.60555		1		0		1		0		


6		A*		62732		2		2		1		0		1		0		
6		Dijkstra		63663		2		2		1		0		1		0		
6		JPS		3671		2		2		1		0		1		0		
6		EDG*		8		2		2		1		0		1		0		


7		A*		61014		2.82843		2.8286		1		0		1		0		
7		Dijkstra		58889		2.82843		2.8286		1		0		1		0		
7		JPS		17723		2.82843		2.8286		1		0		1		0		
7		EDG*		8		2.82843		2.82843		1		0		1		0		


8		A*		59346		3.82843		3.8286		1		0		1		0		
8		Dijkstra		59104		3.82843		3.8286		1		0		1		0		
8		JPS		15282		3.82843		3.8286		1		0		1		0		
8		EDG*		11		3.82843		3.60555		1		0		1		0		


9		A*		59168		3.82843		3.8286		1		0		1		0		
9		Dijkstra		78719		3.82843		3.8286		1		0		1		0		
9		JPS		10520		3.82843		3.8286		1		0		1		0		
9		EDG*		10		3.82843		3.60555		1		0		1		0		


10		A*		61098		3.41421		3.4143		1		0		1		0		
10		Dijkstra		60971		3.41421		3.4143		1		0		1		0		
10		JPS		12561		3.41421		3.4143		1		0		1		0		
10		EDG*		9		3.41421		3.16228		1		0		1		0		


11		A*		60217		4		4		1		0		1		0		
11		Dijkstra		60274		4		4		1		0		1		0		
11		JPS		3329		4		4		1		0		1		0		
11		EDG*		10		4		4		1		0		1		0		


12		A*		60417		5.24264		5.2429		1		0		1		0		
12		Dijkstra		59555		5.24264		5.2429		1		0		1		0		
12		JPS		5819		5.24264		5.2429		1		0		1		0		
12		EDG*		14		5.24264		5		1		0		1		0		


13		A*		59007		7.82843		7.8286		1		0		1		0		
13		Dijkstra		60600		7.82843		7.8286		1		0		1		0		
13		JPS		8186		7.82843		7.8286		1		0		1		0		
13		EDG*		12		7.82843		7.28011		1		0		1		0		


14		A*		60718		4.82843		4.8286		1		0		1		0		
14		Dijkstra		61668		4.82843		4.8286		1		0		1		0		
14		JPS		2061		4.82843		4.8286		1		0		1		0		
14		EDG*		10		4.82843		4.47214		1		0		1		0		


15		A*		60734		6.24264		6.2429		1		0		1		0		
15		Dijkstra		61289		6.24264		6.2429		1		0		1		0		
15		JPS		16540		6.24264		6.2429		1		0		1		0		
15		EDG*		11		6.24264		5.83095		1		0		1		0		


16		A*		60910		6.24264		6.2429		1		0		1		0		
16		Dijkstra		61830		6.24264		6.2429		1		0		1		0		
16		JPS		4751		6.24264		6.2429		1		0		1		0		
16		EDG*		11		6.24264		5.83095		1		0		1		0		


17		A*		59710		4.82843		4.8286		1		0		1		0		
17		Dijkstra		59883		4.82843		4.8286		1		0		1		0		
17		JPS		4030		4.82843		4.8286		1		0		1		0		
17		EDG*		11		4.82843		4.47214		1		0		1		0		


18		A*		59612		4.82843		4.8286		1		0		1		0		
18		Dijkstra		59479		4.82843		4.8286		1		0		1		0		
18		JPS		23467		4.82843		4.8286		1		0		1		0		
18		EDG*		10		4.82843		4.47214		1		0		1		0		


19		A*		65300		7.82843		7.8286		1		0		1		0		
19		Dijkstra		63302		7.82843		7.8286		1		0		1		0		
19		JPS		16471		7.82843		7.8286		1		0		1		0		
19		EDG*		12		7.82843		7.28011		1		0		1		0		


20		A*		62445		7.41421		7.4143		1		0		1		0		
20		Dijkstra		62384		7.41421		7.4143		1		0		1		0		
20		JPS		9261		7.41421		7.4143		1		0		1		0		
20		EDG*		13		7.41421		7.07107		1		0		1		0		


21		A*		61376		10.2426		10.2429		1		0		1		0		
21		Dijkstra		63488		10.2426		10.2429		1		0		1		0		
21		JPS		6046		10.2426		10.2429		1		0		1		0		
21		EDG*		21		10.2426		9.48683		1		0		1		0		


22		A*		59932		11.4853		11.4858		1		0		1		0		
22		Dijkstra		63915		11.4853		11.4858		1		0		1		0		
22		JPS		10966		11.4853		11.4858		1		0		1		0		
22		EDG*		15		11.4853		10.8167		1		0		1		0		


23		A*		59067		10.2426		10.2429		1		0		1		0		
23		Dijkstra		63551		10.2426		10.2429		1		0		1		0		
23		JPS		6489		10.2426		10.2429		1		0		1		0		
23		EDG*		14		10.2426		9.48683		1		0		1		0		


24		A*		59626		10.4142		10.4143		1		0		1		0		
24		Dijkstra		63351		10.4142		10.4143		1		0		1		0		
24		JPS		3181		10.4142		10.4143		1		0		1		0		
24		EDG*		14		10.4142		10.0499		1		0		1		0		


25		A*		59373		8.24264		8.2429		1		0		1		0		
25		Dijkstra		60882		8.24264		8.2429		1		0		1		0		
25		JPS		4615		8.24264		8.2429		1		0		1		0		
25		EDG*		12		8.24264		7.61577		1		0		1		0		


26		A*		65138		10.2426		10.2429		1		0		1		0		
26		Dijkstra		65921		10.2426		10.2429		1		0		1		0		
26		JPS		1572		10.2426		10.2429		1		0		1		0		
26		EDG*		13		10.2426		9.48683		1		0		1		0		


27		A*		61268		9		9		1		0		1		0		
27		Dijkstra		62354		9		9		1		0		1		0		
27		JPS		6990		9		9		1		0		1		0		
27		EDG*		13		9		9		1		0		1		0		


28		A*		60164		11.8995		11.9001		1		0		1		0		
28		Dijkstra		63241		11.8995		11.9001		1		0		1		0		
28		JPS		4184		11.8995		11.9001		1		0		1		0		
28		EDG*		13		11.8995		11.4018		1		0		1		0		


29		A*		61082		9.24264		9.2429		1		0		1		0		
29		Dijkstra		61933		9.24264		9.2429		1		0		1		0		
29		JPS		25591		9.24264		9.2429		1		0		1		0		
29		EDG*		13		9.24264		8.544		1		0		1		0		


30		A*		61891		10		10		1		0		1		0		
30		Dijkstra		63150		10		10		1		0		1		0		
30		JPS		705		10		10		1		0		1		0		
30		EDG*		14		10		10		1		0		1		0		


31		A*		60088		15.4853		15.4858		1		0		1		0		
31		Dijkstra		68907		15.4853		15.4858		1		0		1		0		
31		JPS		17629		15.4853		15.4858		1		0		1		0		
31		EDG*		14		15.4853		14.3178		1		0		1		0		


32		A*		60763		12.4853		12.4858		1		0		1		0		
32		Dijkstra		64691		12.4853		12.4858		1		0		1		0		
32		JPS		1987		12.4853		12.4858		1		0		1		0		
32		EDG*		14		12.4853		11.6619		1		0		1		0		


33		A*		60838		15.0711		15.0715		1		0		1		0		
33		Dijkstra		66482		15.0711		15.0715		1		0		1		0		
33		JPS		26677		15.0711		15.0715		1		0		1		0		
33		EDG*		15		15.0711		13.9284		1		0		1		0		


34		A*		61024		13.4853		13.4858		1		0		1		0		
34		Dijkstra		66193		13.4853		13.4858		1		0		1		0		
34		JPS		4777		13.4853		13.4858		1		0		1		0		
34		EDG*		14		13.4853		12.53		1		0		1		0		


35		A*		60597		13.8284		13.8286		1		0		1		0		
35		Dijkstra		66745		13.8284		13.8286		1		0		1		0		
35		JPS		5773		13.8284		13.8286		1		0		1		0		
35		EDG*		15		13.8284		13.1529		1		0		1		0		


36		A*		59883		12.2426		12.2429		1		0		1		0		
36		Dijkstra		65234		12.2426		12.2429		1		0		1		0		
36		JPS		10392		12.2426		12.2429		1		0		1		0		
36		EDG*		14		12.2426		11.4018		1		0		1		0		


37		A*		60739		14.3137		14.3144		1		0		1		0		
37		Dijkstra		67116		14.3137		14.3144		1		0		1		0		
37		JPS		2413		14.3137		14.3144		1		0		1		0		
37		EDG*		15		14.3137		13.6015		1		0		1		0		


38		A*		60507		14.0711		14.0715		1		0		1		0		
38		Dijkstra		65309		14.0711		14.0715		1		0		1		0		
38		JPS		7312		14.0711		14.0715		1		0		1		0		
38		EDG*		15		14.0711		13		1		0		1		0		


39		A*		60650		12.3137		12.3144		1		0		1		0		
39		Dijkstra		64841		12.3137		12.3144		1		0		1		0		
39		JPS		3508		12.3137		12.3144		1		0		1		0		
39		EDG*		13		12.3137		12.0416		1		0		1		0		


40		A*		60576		13.3137		13.3144		1		0		1		0		
40		Dijkstra		66071		13.3137		13.3144		1		0		1		0		
40		JPS		5214		13.3137		13.3144		1		0		1		0		
40		EDG*		14		13.3137		12.8062		1		0		1		0		


41		A*		60472		17.8284		17.8286		1		0		1		0		
41		Dijkstra		72033		17.8284		17.8286		1		0		1		0		
41		JPS		20759		17.8284		17.8286		1		0		1		0		
41		EDG*		16		17.8284		17.1172		1		0		1		0		


42		A*		60507		19.799		19.8002		1		0		1		0		
42		Dijkstra		72770		19.799		19.8002		1		0		1		0		
42		JPS		3130		19.799		19.8002		1		0		1		0		
42		EDG*		15		19.799		19.799		1		0		1		0		


43		A*		59455		19.7279		19.7287		1		0		1		0		
43		Dijkstra		71999		19.7279		19.7287		1		0		1		0		
43		JPS		3958		19.7279		19.7287		1		0		1		0		
43		EDG*		17		19.7279		18.3576		1		0		1		0		


44		A*		59350		17.2426		17.2429		1		0		1		0		
44		Dijkstra		67682		17.2426		17.2429		1		0		1		0		
44		JPS		5627		17.2426		17.2429		1		0		1		0		
44		EDG*		18		17.2426		16.2788		1		0		1		0		


45		A*		61952		18.0711		18.0715		1		0		1		0		
45		Dijkstra		69165		18.0711		18.0715		1		0		1		0		
45		JPS		10847		18.0711		18.0715		1		0		1		0		
45		EDG*		16		18.0711		16.7631		1		0		1		0		


46		A*		61412		16.0711		16.0715		1		0		1		0		
46		Dijkstra		66498		16.0711		16.0715		1		0		1		0		
46		JPS		8161		16.0711		16.0715		1		0		1		0		
46		EDG*		16		16.0711		14.8661		1		0		1		0		


47		A*		59224		19.3137		19.3144		1		0		1		0		
47		Dijkstra		69435		19.3137		19.3144		1		0		1		0		
47		JPS		1887		19.3137		19.3144		1		0		1		0		
47		EDG*		16		19.3137		17.8885		1		0		1		0		


48		A*		58468		19.3848		19.3859		1		0		1		0		
48		Dijkstra		74407		19.3848		19.3859		1		0		1		0		
48		JPS		5033		19.3848		19.3859		1		0		1		0		
48		EDG*		15		19.3848		19.105		1		0		1		0		


49		A*		59727		19.0711		19.0715		1		0		1		0		
49		Dijkstra		69494		19.0711		19.0715		1		0		1		0		
49		JPS		5089		19.0711		19.0715		1		0		1		0		
49		EDG*		20		19.0711		17.72		1		0		1		0		


50		A*		59947		16.3137		16.3144		1		0		1		0		
50		Dijkstra		69023		16.3137		16.3144		1		0		1		0		
50		JPS		7349		16.3137		16.3144		1		0		1		0		
50		EDG*		17		16.3137		15.2643		1		0		1		0		


51		A*		59717		21.9706		21.9716		1		0		1		0		
51		Dijkstra		72995		21.9706		21.9716		1		0		1		0		
51		JPS		11904		21.9706		21.9716		1		0		1		0		
51		EDG*		16		21.9706		20.8087		1		0		1		0		


52		A*		61055		23.3137		23.3144		1		0		1		0		
52		Dijkstra		74821		23.3137		23.3144		1		0		1		0		
52		JPS		31182		23.3137		23.3144		1		0		1		0		
52		EDG*		17		23.3137		21.5407		1		0		1		0		


53		A*		61745		23.3848		23.3859		1		0		1		0		
53		Dijkstra		75279		23.3848		23.3859		1		0		1		0		
53		JPS		14996		23.3848		23.3859		1		0		1		0		
53		EDG*		16		23.3848		22.2036		1		0		1		0		


54		A*		60417		22.1421		22.143		1		0		1		0		
54		Dijkstra		76604		22.1421		22.143		1		0		1		0		
54		JPS		4565		22.1421		22.143		1		0		1		0		
54		EDG*		16		22.1421		20.5913		1		0		1		0		


55		A*		60419		22.6274		22.6288		1		0		1		0		
55		Dijkstra		77173		22.6274		22.6288		1		0		1		0		
55		JPS		6482		22.6274		22.6288		1		0		1		0		
55		EDG*		17		22.6274		22.6274		1		0		1		0		


56		A*		58940		20.5563		20.5573		1		0		1		0		
56		Dijkstra		74639		20.5563		20.5573		1		0		1		0		
56		JPS		14265		20.5563		20.5573		1		0		1		0		
56		EDG*		17		20.5563		19.4165		1		0		1		0		


57		A*		61066		20.9706		20.9716		1		0		1		0		
57		Dijkstra		74863		20.9706		20.9716		1		0		1		0		
57		JPS		20638		20.9706		20.9716		1		0		1		0		
57		EDG*		16		20.9706		20		1		0		1		0		


