地图名称：Denver_0_1024.map
算例总数：3680


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		58824		2.82843		2.8286		1		0		1		0		
1		Dijkstra		59316		2.82843		2.8286		1		0		1		0		
1		JPS		19810		2.82843		2.8286		1		0		1		0		
1		EDG*		8		2.82843		2.82843		1		0		1		139288		


2		A*		58572		2.41421		2.4143		1		0		1		0		
2		Dijkstra		59385		2.41421		2.4143		1		0		1		0		
2		JPS		2473		2.41421		2.4143		1		0		1		0		
2		EDG*		8		2.41421		2.23607		1		0		1		0		


3		A*		59428		3.82843		3.8286		1		0		1		0		
3		Dijkstra		61465		3.82843		3.8286		1		0		1		0		
3		JPS		14640		3.82843		3.8286		1		0		1		0		
3		EDG*		14		3.82843		3.60555		1		0		1		0		


4		A*		69626		3.82843		3.8286		1		0		1		0		
4		Dijkstra		62328		3.82843		3.8286		1		0		1		0		
4		JPS		38191		3.82843		3.8286		1		0		1		0		
4		EDG*		14		3.82843		3.60555		1		0		1		0		


5		A*		67761		3.41421		3.4143		1		0		1		0		
5		Dijkstra		62763		3.41421		3.4143		1		0		1		0		
5		JPS		1227		3.41421		3.4143		1		0		1		0		
5		EDG*		11		3.41421		3.16228		1		0		1		0		


6		A*		60408		3		3		1		0		1		0		
6		Dijkstra		59262		3		3		1		0		1		0		
6		JPS		8550		3		3		1		0		1		0		
6		EDG*		12		3		3		1		0		1		0		


7		A*		59250		2.41421		2.4143		1		0		1		0		
7		Dijkstra		58852		2.41421		2.4143		1		0		1		0		
7		JPS		384		2.41421		2.4143		1		0		1		0		
7		EDG*		10		2.41421		2.23607		1		0		1		0		


8		A*		59971		2.41421		2.4143		1		0		1		0		
8		Dijkstra		59617		2.41421		2.4143		1		0		1		0		
8		JPS		2344		2.41421		2.4143		1		0		1		0		
8		EDG*		10		2.41421		2.23607		1		0		1		0		


9		A*		58611		0		0		1		0		0		0		
9		Dijkstra		58630		0		0		1		0		0		0		
9		JPS		9		0		0		1		0		0		0		
9		EDG*		3		0		0		1		0		1		0		


10		A*		58555		2.82843		2.8286		1		0		1		0		
10		Dijkstra		58883		2.82843		2.8286		1		0		1		0		
10		JPS		9014		2.82843		2.8286		1		0		1		0		
10		EDG*		9		2.82843		2.82843		1		0		1		0		


11		A*		58880		6.41421		6.4143		1		0		1		0		
11		Dijkstra		60082		6.41421		6.4143		1		0		1		0		
11		JPS		5663		6.41421		6.4143		1		0		1		0		
11		EDG*		12		6.41421		6.08276		1		0		1		0		


12		A*		58980		7.24264		7.2429		1		0		1		0		
12		Dijkstra		60386		7.24264		7.2429		1		0		1		0		
12		JPS		3321		7.24264		7.2429		1		0		1		0		
12		EDG*		14		7.24264		6.7082		1		0		1		0		


13		A*		60746		4.41421		4.4143		1		0		1		0		
13		Dijkstra		59522		4.41421		4.4143		1		0		1		0		
13		JPS		3412		4.41421		4.4143		1		0		1		0		
13		EDG*		10		4.41421		4.12311		1		0		1		0		


14		A*		58853		4.82843		4.8286		1		0		1		0		
14		Dijkstra		59661		4.82843		4.8286		1		0		1		0		
14		JPS		5845		4.82843		4.8286		1		0		1		0		
14		EDG*		13		4.82843		4.47214		1		0		1		0		


15		A*		58940		4.82843		4.8286		1		0		1		0		
15		Dijkstra		59622		4.82843		4.8286		1		0		1		0		
15		JPS		5226		4.82843		4.8286		1		0		1		0		
15		EDG*		12		4.82843		4.47214		1		0		1		0		


16		A*		59162		4		4		1		0		1		0		
16		Dijkstra		59465		4		4		1		0		1		0		
16		JPS		7112		4		4		1		0		1		0		
16		EDG*		11		4		4		1		0		1		0		


17		A*		58713		6.65685		6.6572		1		0		1		0		
17		Dijkstra		60695		6.65685		6.6572		1		0		1		0		
17		JPS		6058		6.65685		6.6572		1		0		1		0		
17		EDG*		12		6.65685		6.40312		1		0		1		0		


18		A*		58634		7.82843		7.8286		1		0		1		0		
18		Dijkstra		60751		7.82843		7.8286		1		0		1		0		
18		JPS		17253		7.82843		7.8286		1		0		1		0		
18		EDG*		14		7.82843		7.28011		1		0		1		0		


19		A*		59856		4.24264		4.2429		1		0		1		0		
19		Dijkstra		61783		4.24264		4.2429		1		0		1		0		
19		JPS		10125		4.24264		4.2429		1		0		1		0		
19		EDG*		13		4.24264		4.24264		1		0		1		0		


20		A*		58749		7.07107		7.0715		1		0		1		0		
20		Dijkstra		60488		7.07107		7.0715		1		0		1		0		
20		JPS		10541		7.07107		7.0715		1		0		1		0		
20		EDG*		12		7.07107		7.07107		1		0		1		0		


21		A*		59078		8		8		1		0		1		0		
21		Dijkstra		61039		8		8		1		0		1		0		
21		JPS		27246		8		8		1		0		1		0		
21		EDG*		14		8		8		1		0		1		0		


22		A*		59855		10.2426		10.2429		1		0		1		0		
22		Dijkstra		62249		10.2426		10.2429		1		0		1		0		
22		JPS		4456		10.2426		10.2429		1		0		1		0		
22		EDG*		14		10.2426		9.48683		1		0		1		0		


23		A*		59804		8.24264		8.2429		1		0		1		0		
23		Dijkstra		61141		8.24264		8.2429		1		0		1		0		
23		JPS		1064		8.24264		8.2429		1		0		1		0		
23		EDG*		15		8.24264		7.61577		1		0		1		0		


24		A*		58920		11.4853		11.4858		1		0		1		0		
24		Dijkstra		62945		11.4853		11.4858		1		0		1		0		
24		JPS		8832		11.4853		11.4858		1		0		1		0		
24		EDG*		14		11.4853		10.8167		1		0		1		0		


25		A*		58796		11.2426		11.2429		1		0		1		0		
25		Dijkstra		61223		11.2426		11.2429		1		0		1		0		
25		JPS		3912		11.2426		11.2429		1		0		1		0		
25		EDG*		16		11.2426		10.4403		1		0		1		0		


26		A*		58780		8.65685		8.6572		1		0		1		0		
26		Dijkstra		61065		8.65685		8.6572		1		0		1		0		
26		JPS		9076		8.65685		8.6572		1		0		1		0		
26		EDG*		15		8.65685		8.06226		1		0		1		0		


27		A*		60229		8.82843		8.8286		1		0		1		0		
27		Dijkstra		61567		8.82843		8.8286		1		0		1		0		
27		JPS		5014		8.82843		8.8286		1		0		1		0		
27		EDG*		14		8.82843		8.24621		1		0		1		0		


28		A*		61513		9.41421		9.4143		1		0		1		0		
28		Dijkstra		61574		9.41421		9.4143		1		0		1		0		
28		JPS		2424		9.41421		9.4143		1		0		1		0		
28		EDG*		14		9.41421		9.05539		1		0		1		0		


29		A*		59012		8.41421		8.4143		1		0		1		0		
29		Dijkstra		60854		8.41421		8.4143		1		0		1		0		
29		JPS		784		8.41421		8.4143		1		0		1		0		
29		EDG*		15		8.41421		8.06226		1		0		1		0		


30		A*		58679		11.3137		11.3144		1		0		1		0		
30		Dijkstra		62600		11.3137		11.3144		1		0		1		0		
30		JPS		2579		11.3137		11.3144		1		0		1		0		
30		EDG*		14		11.3137		11.3137		1		0		1		0		


31		A*		58748		15.3137		15.3144		1		0		1		0		
31		Dijkstra		66058		15.3137		15.3144		1		0		1		0		
31		JPS		2773		15.3137		15.3144		1		0		1		0		
31		EDG*		16		15.3137		14.4222		1		0		1		0		


32		A*		58732		14.1421		14.143		1		0		1		0		
32		Dijkstra		65200		14.1421		14.143		1		0		1		0		
32		JPS		12726		14.1421		14.143		1		0		1		0		
32		EDG*		16		14.1421		14.1421		1		0		1		0		


33		A*		59904		13.2426		13.2429		1		0		1		0		
33		Dijkstra		64433		13.2426		13.2429		1		0		1		0		
33		JPS		11290		13.2426		13.2429		1		0		1		0		
33		EDG*		16		13.2426		12.3693		1		0		1		0		


34		A*		58857		14.4853		14.4858		1		0		1		0		
34		Dijkstra		65176		14.4853		14.4858		1		0		1		0		
34		JPS		3601		14.4853		14.4858		1		0		1		0		
34		EDG*		17		14.4853		13.4164		1		0		1		0		


35		A*		58783		15.7279		15.7287		1		0		1		0		
35		Dijkstra		66298		15.7279		15.7287		1		0		1		0		
35		JPS		24992		15.7279		15.7287		1		0		1		0		
35		EDG*		16		15.7279		15		1		0		1		0		


36		A*		58939		12.0711		12.0715		1		0		1		0		
36		Dijkstra		65148		12.0711		12.0715		1		0		1		0		
36		JPS		9211		12.0711		12.0715		1		0		1		0		
36		EDG*		20		12.0711		11.1803		1		0		1		0		


37		A*		58828		13.2426		13.2429		1		0		1		0		
37		Dijkstra		64628		13.2426		13.2429		1		0		1		0		
37		JPS		10937		13.2426		13.2429		1		0		1		0		
37		EDG*		16		13.2426		12.3693		1		0		1		0		


38		A*		59155		14.7279		14.7287		1		0		1		0		
38		Dijkstra		65973		14.7279		14.7287		1		0		1		0		
38		JPS		15353		14.7279		14.7287		1		0		1		0		
38		EDG*		16		14.7279		14.2127		1		0		1		0		


39		A*		58980		15.4853		15.4858		1		0		1		0		
39		Dijkstra		65946		15.4853		15.4858		1		0		1		0		
39		JPS		25283		15.4853		15.4858		1		0		1		0		
39		EDG*		16		15.4853		14.3178		1		0		1		0		


40		A*		58821		13.0711		13.0715		1		0		1		0		
40		Dijkstra		63301		13.0711		13.0715		1		0		1		0		
40		JPS		5281		13.0711		13.0715		1		0		1		0		
40		EDG*		17		13.0711		12.083		1		0		1		0		


41		A*		59302		19.5563		19.5573		1		0		1		0		
41		Dijkstra		69415		19.5563		19.5573		1		0		1		0		
41		JPS		5699		19.5563		19.5573		1		0		1		0		
41		EDG*		18		19.5563		18.6011		1		0		1		0		


42		A*		59732		19.8284		19.8286		1		0		1		0		
42		Dijkstra		67027		19.8284		19.8286		1		0		1		0		
42		JPS		1680		19.8284		19.8286		1		0		1		0		
42		EDG*		19		19.8284		19.105		1		0		1		0		


43		A*		59340		17		17		1		0		1		0		
43		Dijkstra		67996		17		17		1		0		1		0		
43		JPS		14461		17		17		1		0		1		0		
43		EDG*		18		17		17		1		0		1		0		


44		A*		59097		19		19		1		0		1		0		
44		Dijkstra		69968		19		19		1		0		1		0		
44		JPS		24470		19		19		1		0		1		0		
44		EDG*		24		19		19		1		0		1		0		


45		A*		59172		17.2426		17.2429		1		0		1		0		
45		Dijkstra		67770		17.2426		17.2429		1		0		1		0		
45		JPS		7795		17.2426		17.2429		1		0		1		0		
45		EDG*		18		17.2426		16.2788		1		0		1		0		


46		A*		58787		17.8995		17.9001		1		0		1		0		
46		Dijkstra		68532		17.8995		17.9001		1		0		1		0		
46		JPS		10836		17.8995		17.9001		1		0		1		0		
46		EDG*		17		17.8995		16.5529		1		0		1		0		


47		A*		59413		17.4142		17.4143		1		0		1		0		
47		Dijkstra		68186		17.4142		17.4143		1		0		1		0		
47		JPS		25719		17.4142		17.4143		1		0		1		0		
47		EDG*		19		17.4142		17.0294		1		0		1		0		


48		A*		59101		18.8284		18.8286		1		0		1		0		
48		Dijkstra		68288		18.8284		18.8286		1		0		1		0		
48		JPS		8235		18.8284		18.8286		1		0		1		0		
48		EDG*		18		18.8284		18.1108		1		0		1		0		


49		A*		58819		19.8995		19.9001		1		0		1		0		
49		Dijkstra		70826		19.8995		19.9001		1		0		1		0		
49		JPS		14141		19.8995		19.9001		1		0		1		0		
49		EDG*		18		19.8995		18.3848		1		0		1		0		


50		A*		59073		19.8995		19.9001		1		0		1		0		
50		Dijkstra		70940		19.8995		19.9001		1		0		1		0		
50		JPS		7465		19.8995		19.9001		1		0		1		0		
50		EDG*		17		19.8995		18.3848		1		0		1		0		


51		A*		58843		21.799		21.8002		1		0		1		0		
51		Dijkstra		73784		21.799		21.8002		1		0		1		0		
51		JPS		19088		21.799		21.8002		1		0		1		0		
51		EDG*		18		21.799		21.2603		1		0		1		0		


52		A*		60013		21.9706		21.9716		1		0		1		0		
52		Dijkstra		73604		21.9706		21.9716		1		0		1		0		
52		JPS		12778		21.9706		21.9716		1		0		1		0		
52		EDG*		18		21.9706		20.8087		1		0		1		0		


53		A*		58781		20.0711		20.0715		1		0		1		0		
53		Dijkstra		70356		20.0711		20.0715		1		0		1		0		
53		JPS		13502		20.0711		20.0715		1		0		1		0		
53		EDG*		19		20.0711		18.6815		1		0		1		0		


54		A*		58920		21.3848		21.3859		1		0		1		0		
54		Dijkstra		73593		21.3848		21.3859		1		0		1		0		
54		JPS		15642		21.3848		21.3859		1		0		1		0		
54		EDG*		18		21.3848		20.6155		1		0		1		0		


55		A*		59094		23.7279		23.7287		1		0		1		0		
55		Dijkstra		76017		23.7279		23.7287		1		0		1		0		
55		JPS		10835		23.7279		23.7287		1		0		1		0		
55		EDG*		19		23.7279		21.9317		1		0		1		0		


56		A*		59314		23.8284		23.8286		1		0		1		0		
56		Dijkstra		76723		23.8284		23.8286		1		0		1		0		
56		JPS		11420		23.8284		23.8286		1		0		1		0		
56		EDG*		28		23.8284		23.0868		1		0		1		0		


57		A*		61280		22.2132		22.2145		1		0		1		0		
57		Dijkstra		74124		22.2132		22.2145		1		0		1		0		
57		JPS		22780		22.2132		22.2145		1		0		1		0		
57		EDG*		18		22.2132		21.9317		1		0		1		0		


