地图名称：Boston_0_1024.map
算例总数：3840


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		66421		3.82843		3.8286		1		0		1		0		
1		Dijkstra		66723		3.82843		3.8286		1		0		1		0		
1		JPS		12799		3.82843		3.8286		1		0		1		0		
1		EDG*		10		3.82843		3.60555		1		0		1		146359		


2		A*		67018		3.82843		3.8286		1		0		1		0		
2		Dijkstra		60693		3.82843		3.8286		1		0		1		0		
2		JPS		599		3.82843		3.8286		1		0		1		0		
2		EDG*		9		3.82843		3.60555		1		0		1		0		


3		A*		68957		1		1		1		0		1		0		
3		Dijkstra		77170		1		1		1		0		1		0		
3		JPS		5853		1		1		1		0		1		0		
3		EDG*		7		1		1		1		0		1		0		


4		A*		66818		2.41421		2.4143		1		0		1		0		
4		Dijkstra		63512		2.41421		2.4143		1		0		1		0		
4		JPS		690		2.41421		2.4143		1		0		1		0		
4		EDG*		8		2.41421		2.23607		1		0		1		0		


5		A*		77511		2		2		1		0		1		0		
5		Dijkstra		69938		2		2		1		0		1		0		
5		JPS		2176		2		2		1		0		1		0		
5		EDG*		8		2		2		1		0		1		0		


6		A*		68446		3.82843		3.8286		1		0		1		0		
6		Dijkstra		63552		3.82843		3.8286		1		0		1		0		
6		JPS		601		3.82843		3.8286		1		0		1		0		
6		EDG*		10		3.82843		3.60555		1		0		1		0		


7		A*		61388		3.41421		3.4143		1		0		1		0		
7		Dijkstra		65619		3.41421		3.4143		1		0		1		0		
7		JPS		296		3.41421		3.4143		1		0		1		0		
7		EDG*		10		3.41421		3.16228		1		0		1		0		


8		A*		61410		1		1		1		0		1		0		
8		Dijkstra		65047		1		1		1		0		1		0		
8		JPS		163		1		1		1		0		1		0		
8		EDG*		7		1		1		1		0		1		0		


9		A*		71437		2.82843		2.8286		1		0		1		0		
9		Dijkstra		74544		2.82843		2.8286		1		0		1		0		
9		JPS		3033		2.82843		2.8286		1		0		1		0		
9		EDG*		10		2.82843		2.82843		1		0		1		0		


10		A*		63858		2		2		1		0		1		0		
10		Dijkstra		63457		2		2		1		0		1		0		
10		JPS		2338		2		2		1		0		1		0		
10		EDG*		8		2		2		1		0		1		0		


11		A*		63711		5		5		1		0		1		0		
11		Dijkstra		64180		5		5		1		0		1		0		
11		JPS		13209		5		5		1		0		1		0		
11		EDG*		11		5		5		1		0		1		0		


12		A*		62676		5.24264		5.2429		1		0		1		0		
12		Dijkstra		64067		5.24264		5.2429		1		0		1		0		
12		JPS		333		5.24264		5.2429		1		0		1		0		
12		EDG*		10		5.24264		5		1		0		1		0		


13		A*		64680		5.24264		5.2429		1		0		1		0		
13		Dijkstra		62601		5.24264		5.2429		1		0		1		0		
13		JPS		3288		5.24264		5.2429		1		0		1		0		
13		EDG*		11		5.24264		5		1		0		1		0		


14		A*		64751		4.82843		4.8286		1		0		1		0		
14		Dijkstra		62110		4.82843		4.8286		1		0		1		0		
14		JPS		2411		4.82843		4.8286		1		0		1		0		
14		EDG*		10		4.82843		4.47214		1		0		1		0		


15		A*		63146		4.24264		4.2429		1		0		1		0		
15		Dijkstra		73598		4.24264		4.2429		1		0		1		0		
15		JPS		1380		4.24264		4.2429		1		0		1		0		
15		EDG*		9		4.24264		4.24264		1		0		1		0		


16		A*		65936		7		7		1		0		1		0		
16		Dijkstra		63850		7		7		1		0		1		0		
16		JPS		378		7		7		1		0		1		0		
16		EDG*		13		7		7		1		0		1		0		


17		A*		62030		6.41421		6.4143		1		0		1		0		
17		Dijkstra		63681		6.41421		6.4143		1		0		1		0		
17		JPS		1971		6.41421		6.4143		1		0		1		0		
17		EDG*		11		6.41421		6.08276		1		0		1		0		


18		A*		61617		5.24264		5.2429		1		0		1		0		
18		Dijkstra		61139		5.24264		5.2429		1		0		1		0		
18		JPS		3027		5.24264		5.2429		1		0		1		0		
18		EDG*		10		5.24264		5		1		0		1		0		


19		A*		72691		5.41421		5.4143		1		0		1		0		
19		Dijkstra		64756		5.41421		5.4143		1		0		1		0		
19		JPS		2598		5.41421		5.4143		1		0		1		0		
19		EDG*		12		5.41421		5.09902		1		0		1		0		


20		A*		68120		7.41421		7.4143		1		0		1		0		
20		Dijkstra		69237		7.41421		7.4143		1		0		1		0		
20		JPS		763		7.41421		7.4143		1		0		1		0		
20		EDG*		14		7.41421		7.07107		1		0		1		0		


21		A*		62658		10.6569		10.6572		1		0		1		0		
21		Dijkstra		70339		10.6569		10.6572		1		0		1		0		
21		JPS		4159		10.6569		10.6572		1		0		1		0		
21		EDG*		14		10.6569		9.84886		1		0		1		0		


22		A*		62450		8.65685		8.6572		1		0		1		0		
22		Dijkstra		69638		8.65685		8.6572		1		0		1		0		
22		JPS		13540		8.65685		8.6572		1		0		1		0		
22		EDG*		13		8.65685		8.06226		1		0		1		0		


23		A*		62089		10.0711		10.0715		1		0		1		0		
23		Dijkstra		66095		10.0711		10.0715		1		0		1		0		
23		JPS		1149		10.0711		10.0715		1		0		1		0		
23		EDG*		14		10.0711		9.43398		1		0		1		0		


24		A*		63311		9.48528		9.4858		1		0		1		0		
24		Dijkstra		66216		9.48528		9.4858		1		0		1		0		
24		JPS		1897		9.48528		9.4858		1		0		1		0		
24		EDG*		13		9.48528		9.21954		1		0		1		0		


25		A*		67929		11.0711		11.0715		1		0		1		0		
25		Dijkstra		89491		11.0711		11.0715		1		0		1		0		
25		JPS		1108		11.0711		11.0715		1		0		1		0		
25		EDG*		14		11.0711		10.2956		1		0		1		0		


26		A*		71319		10.8284		10.8286		1		0		1		0		
26		Dijkstra		65104		10.8284		10.8286		1		0		1		0		
26		JPS		929		10.8284		10.8286		1		0		1		0		
26		EDG*		15		10.8284		10.198		1		0		1		0		


27		A*		62154		8.24264		8.2429		1		0		1		0		
27		Dijkstra		64450		8.24264		8.2429		1		0		1		0		
27		JPS		2234		8.24264		8.2429		1		0		1		0		
27		EDG*		13		8.24264		7.61577		1		0		1		0		


28		A*		64751		8.41421		8.4143		1		0		1		0		
28		Dijkstra		68866		8.41421		8.4143		1		0		1		0		
28		JPS		868		8.41421		8.4143		1		0		1		0		
28		EDG*		14		8.41421		8.06226		1		0		1		0		


29		A*		65612		10.0711		10.0715		1		0		1		0		
29		Dijkstra		67692		10.0711		10.0715		1		0		1		0		
29		JPS		12763		10.0711		10.0715		1		0		1		0		
29		EDG*		13		10.0711		9.43398		1		0		1		0		


30		A*		69842		8.41421		8.4143		1		0		1		0		
30		Dijkstra		63974		8.41421		8.4143		1		0		1		0		
30		JPS		1102		8.41421		8.4143		1		0		1		0		
30		EDG*		18		8.41421		8.06226		1		0		1		0		


31		A*		63798		14.6569		14.6572		1		0		1		0		
31		Dijkstra		76807		14.6569		14.6572		1		0		1		0		
31		JPS		896		14.6569		14.6572		1		0		1		0		
31		EDG*		16		14.6569		13.6015		1		0		1		0		


32		A*		67790		13.8284		13.8286		1		0		1		0		
32		Dijkstra		68602		13.8284		13.8286		1		0		1		0		
32		JPS		12106		13.8284		13.8286		1		0		1		0		
32		EDG*		15		13.8284		13.1529		1		0		1		0		


33		A*		63779		15.0711		15.0715		1		0		1		0		
33		Dijkstra		68702		15.0711		15.0715		1		0		1		0		
33		JPS		1680		15.0711		15.0715		1		0		1		0		
33		EDG*		16		15.0711		13.9284		1		0		1		0		


34		A*		62989		14.8284		14.8286		1		0		1		0		
34		Dijkstra		71304		14.8284		14.8286		1		0		1		0		
34		JPS		1601		14.8284		14.8286		1		0		1		0		
34		EDG*		16		14.8284		14.1421		1		0		1		0		


35		A*		61507		15.7279		15.7287		1		0		1		0		
35		Dijkstra		69362		15.7279		15.7287		1		0		1		0		
35		JPS		3941		15.7279		15.7287		1		0		1		0		
35		EDG*		16		15.7279		15		1		0		1		0		


36		A*		73086		15.6569		15.6572		1		0		1		0		
36		Dijkstra		77701		15.6569		15.6572		1		0		1		0		
36		JPS		488		15.6569		15.6572		1		0		1		0		
36		EDG*		15		15.6569		14.5602		1		0		1		0		


37		A*		70555		14.2426		14.2429		1		0		1		0		
37		Dijkstra		71226		14.2426		14.2429		1		0		1		0		
37		JPS		3147		14.2426		14.2429		1		0		1		0		
37		EDG*		18		14.2426		13.3417		1		0		1		0		


38		A*		63896		14.6569		14.6572		1		0		1		0		
38		Dijkstra		81876		14.6569		14.6572		1		0		1		0		
38		JPS		2296		14.6569		14.6572		1		0		1		0		
38		EDG*		22		14.6569		13.6015		1		0		1		0		


39		A*		64289		13.7279		13.7287		1		0		1		0		
39		Dijkstra		71861		13.7279		13.7287		1		0		1		0		
39		JPS		400		13.7279		13.7287		1		0		1		0		
39		EDG*		14		13.7279		13.4536		1		0		1		0		


40		A*		64980		14.0711		14.0715		1		0		1		0		
40		Dijkstra		67073		14.0711		14.0715		1		0		1		0		
40		JPS		3963		14.0711		14.0715		1		0		1		0		
40		EDG*		16		14.0711		13		1		0		1		0		


41		A*		62104		16.7279		16.7287		1		0		1		0		
41		Dijkstra		69042		16.7279		16.7287		1		0		1		0		
41		JPS		2017		16.7279		16.7287		1		0		1		0		
41		EDG*		16		16.7279		15.8114		1		0		1		0		


42		A*		73242		19.9706		19.9716		1		0		1		0		
42		Dijkstra		75698		19.9706		19.9716		1		0		1		0		
42		JPS		1079		19.9706		19.9716		1		0		1		0		
42		EDG*		17		19.9706		19.2094		1		0		1		0		


43		A*		76936		19.6569		19.6572		1		0		1		0		
43		Dijkstra		83636		19.6569		19.6572		1		0		1		0		
43		JPS		1895		19.6569		19.6572		1		0		1		0		
43		EDG*		24		19.6569		18.4391		1		0		1		0		


44		A*		62719		17.1421		17.143		1		0		1		0		
44		Dijkstra		72494		17.1421		17.143		1		0		1		0		
44		JPS		1888		17.1421		17.143		1		0		1		0		
44		EDG*		17		17.1421		16.4012		1		0		1		0		


45		A*		61661		18.4142		18.4143		1		0		1		0		
45		Dijkstra		81724		18.4142		18.4143		1		0		1		0		
45		JPS		1286		18.4142		18.4143		1		0		1		0		
45		EDG*		16		18.4142		18.0278		1		0		1		0		


46		A*		66073		16.2426		16.2429		1		0		1		0		
46		Dijkstra		82806		16.2426		16.2429		1		0		1		0		
46		JPS		1326		16.2426		16.2429		1		0		1		0		
46		EDG*		24		16.2426		15.2971		1		0		1		0		


47		A*		65027		17.6569		17.6572		1		0		1		0		
47		Dijkstra		84075		17.6569		17.6572		1		0		1		0		
47		JPS		4641		17.6569		17.6572		1		0		1		0		
47		EDG*		22		17.6569		16.4924		1		0		1		0		


48		A*		65369		19		19		1		0		1		0		
48		Dijkstra		76061		19		19		1		0		1		0		
48		JPS		948		19		19		1		0		1		0		
48		EDG*		17		19		19		1		0		1		0		


49		A*		65866		18		18		1		0		1		0		
49		Dijkstra		85108		18		18		1		0		1		0		
49		JPS		7009		18		18		1		0		1		0		
49		EDG*		23		18		18		1		0		1		0		


50		A*		62029		17.8995		17.9001		1		0		1		0		
50		Dijkstra		71091		17.8995		17.9001		1		0		1		0		
50		JPS		6582		17.8995		17.9001		1		0		1		0		
50		EDG*		17		17.8995		16.5529		1		0		1		0		


51		A*		63832		23.799		23.8002		1		0		1		0		
51		Dijkstra		84310		23.799		23.8002		1		0		1		0		
51		JPS		718		23.799		23.8002		1		0		1		0		
51		EDG*		18		23.799		22.8035		1		0		1		0		


52		A*		65586		22.0711		22.0715		1		0		1		0		
52		Dijkstra		90308		22.0711		22.0715		1		0		1		0		
52		JPS		474		22.0711		22.0715		1		0		1		0		
52		EDG*		19		22.0711		20.6155		1		0		1		0		


53		A*		61528		20.8995		20.9001		1		0		1		0		
53		Dijkstra		74717		20.8995		20.9001		1		0		1		0		
53		JPS		852		20.8995		20.9001		1		0		1		0		
53		EDG*		17		20.8995		19.3132		1		0		1		0		


54		A*		64521		21.4853		21.4858		1		0		1		0		
54		Dijkstra		76961		21.4853		21.4858		1		0		1		0		
54		JPS		965		21.4853		21.4858		1		0		1		0		
54		EDG*		17		21.4853		19.9249		1		0		1		0		


55		A*		65321		23.8284		23.8286		1		0		1		0		
55		Dijkstra		81894		23.8284		23.8286		1		0		1		0		
55		JPS		1939		23.8284		23.8286		1		0		1		0		
55		EDG*		26		23.8284		23.0868		1		0		1		0		


56		A*		63724		22.9706		22.9716		1		0		1		0		
56		Dijkstra		78907		22.9706		22.9716		1		0		1		0		
56		JPS		3067		22.9706		22.9716		1		0		1		0		
56		EDG*		18		22.9706		21.6333		1		0		1		0		


57		A*		61544		22.6274		22.6288		1		0		1		0		
57		Dijkstra		89407		22.6274		22.6288		1		0		1		0		
57		JPS		744		22.6274		22.6288		1		0		1		0		
57		EDG*		18		22.6274		22.6274		1		0		1		0		


58		A*		61624		22.6569		22.6572		1		0		1		0		
58		Dijkstra		73486		22.6569		22.6572		1		0		1		0		
58		JPS		982		22.6569		22.6572		1		0		1		0		
