地图名称：Berlin_2_1024.map
算例总数：3870


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		59682		1		1		1		0		1		0		
1		Dijkstra		60969		1		1		1		0		1		0		
1		JPS		1809		1		1		1		0		1		0		
1		EDG*		8		1		1		1		0		1		95787		


2		A*		61719		3.82843		3.8286		1		0		1		0		
2		Dijkstra		64809		3.82843		3.8286		1		0		1		0		
2		JPS		2050		3.82843		3.8286		1		0		1		0		
2		EDG*		9		3.82843		3.60555		1		0		1		0		


3		A*		62798		2.41421		2.4143		1		0		1		0		
3		Dijkstra		68524		2.41421		2.4143		1		0		1		0		
3		JPS		13952		2.41421		2.4143		1		0		1		0		
3		EDG*		9		2.41421		2.23607		1		0		1		0		


4		A*		63537		2		2		1		0		1		0		
4		Dijkstra		70802		2		2		1		0		1		0		
4		JPS		6139		2		2		1		0		1		0		
4		EDG*		15		2		2		1		0		1		0		


5		A*		63969		0		0		1		0		0		0		
5		Dijkstra		61547		0		0		1		0		0		0		
5		JPS		8		0		0		1		0		0		0		
5		EDG*		2		0		0		1		0		1		0		


6		A*		61409		2.41421		2.4143		1		0		1		0		
6		Dijkstra		62029		2.41421		2.4143		1		0		1		0		
6		JPS		2174		2.41421		2.4143		1		0		1		0		
6		EDG*		9		2.41421		2.23607		1		0		1		0		


7		A*		61986		2		2		1		0		1		0		
7		Dijkstra		62221		2		2		1		0		1		0		
7		JPS		1236		2		2		1		0		1		0		
7		EDG*		9		2		2		1		0		1		0		


8		A*		61424		1.41421		1.4143		1		0		1		0		
8		Dijkstra		61585		1.41421		1.4143		1		0		1		0		
8		JPS		2370		1.41421		1.4143		1		0		1		0		
8		EDG*		7		1.41421		1.41421		1		0		1		0		


9		A*		61792		1.41421		1.4143		1		0		1		0		
9		Dijkstra		60240		1.41421		1.4143		1		0		1		0		
9		JPS		2464		1.41421		1.4143		1		0		1		0		
9		EDG*		7		1.41421		1.41421		1		0		1		0		


10		A*		61568		3		3		1		0		1		0		
10		Dijkstra		61855		3		3		1		0		1		0		
10		JPS		837		3		3		1		0		1		0		
10		EDG*		9		3		3		1		0		1		0		


11		A*		63762		5.24264		5.2429		1		0		1		0		
11		Dijkstra		62803		5.24264		5.2429		1		0		1		0		
11		JPS		1336		5.24264		5.2429		1		0		1		0		
11		EDG*		12		5.24264		5		1		0		1		0		


12		A*		62139		7.65685		7.6572		1		0		1		0		
12		Dijkstra		63879		7.65685		7.6572		1		0		1		0		
12		JPS		2408		7.65685		7.6572		1		0		1		0		
12		EDG*		12		7.65685		7.2111		1		0		1		0		


13		A*		63167		7.82843		7.8286		1		0		1		0		
13		Dijkstra		66035		7.82843		7.8286		1		0		1		0		
13		JPS		986		7.82843		7.8286		1		0		1		0		
13		EDG*		14		7.82843		7.28011		1		0		1		0		


14		A*		61870		7.65685		7.6572		1		0		1		0		
14		Dijkstra		63124		7.65685		7.6572		1		0		1		0		
14		JPS		759		7.65685		7.6572		1		0		1		0		
14		EDG*		14		7.65685		7.2111		1		0		1		0		


15		A*		64954		5		5		1		0		1		0		
15		Dijkstra		62404		5		5		1		0		1		0		
15		JPS		1150		5		5		1		0		1		0		
15		EDG*		14		5		5		1		0		1		0		


16		A*		61679		6.24264		6.2429		1		0		1		0		
16		Dijkstra		62765		6.24264		6.2429		1		0		1		0		
16		JPS		4108		6.24264		6.2429		1		0		1		0		
16		EDG*		13		6.24264		5.83095		1		0		1		0		


17		A*		69459		6.24264		6.2429		1		0		1		0		
17		Dijkstra		63217		6.24264		6.2429		1		0		1		0		
17		JPS		1684		6.24264		6.2429		1		0		1		0		
17		EDG*		12		6.24264		5.83095		1		0		1		0		


18		A*		83014		6.65685		6.6572		1		0		1		0		
18		Dijkstra		64157		6.65685		6.6572		1		0		1		0		
18		JPS		4378		6.65685		6.6572		1		0		1		0		
18		EDG*		13		6.65685		6.40312		1		0		1		0		


19		A*		61485		7.65685		7.6572		1		0		1		0		
19		Dijkstra		85063		7.65685		7.6572		1		0		1		0		
19		JPS		896		7.65685		7.6572		1		0		1		0		
19		EDG*		13		7.65685		7.2111		1		0		1		0		


20		A*		61080		6.24264		6.2429		1		0		1		0		
20		Dijkstra		63271		6.24264		6.2429		1		0		1		0		
20		JPS		1848		6.24264		6.2429		1		0		1		0		
20		EDG*		14		6.24264		5.83095		1		0		1		0		


21		A*		61193		9.82843		9.8286		1		0		1		0		
21		Dijkstra		63114		9.82843		9.8286		1		0		1		0		
21		JPS		6591		9.82843		9.8286		1		0		1		0		
21		EDG*		15		9.82843		9.21954		1		0		1		0		


22		A*		62654		11.6569		11.6572		1		0		1		0		
22		Dijkstra		67568		11.6569		11.6572		1		0		1		0		
22		JPS		2599		11.6569		11.6572		1		0		1		0		
22		EDG*		21		11.6569		10.7703		1		0		1		0		


23		A*		61474		8.41421		8.4143		1		0		1		0		
23		Dijkstra		62007		8.41421		8.4143		1		0		1		0		
23		JPS		6806		8.41421		8.4143		1		0		1		0		
23		EDG*		14		8.41421		8.06226		1		0		1		0		


24		A*		63812		10.2426		10.2429		1		0		1		0		
24		Dijkstra		66727		10.2426		10.2429		1		0		1		0		
24		JPS		1918		10.2426		10.2429		1		0		1		0		
24		EDG*		17		10.2426		9.48683		1		0		1		0		


25		A*		64450		10.6569		10.6572		1		0		1		0		
25		Dijkstra		70187		10.6569		10.6572		1		0		1		0		
25		JPS		5777		10.6569		10.6572		1		0		1		0		
25		EDG*		15		10.6569		9.84886		1		0		1		0		


26		A*		60222		9.65685		9.6572		1		0		1		0		
26		Dijkstra		63560		9.65685		9.6572		1		0		1		0		
26		JPS		948		9.65685		9.6572		1		0		1		0		
26		EDG*		15		9.65685		8.94427		1		0		1		0		


27		A*		63030		10.2426		10.2429		1		0		1		0		
27		Dijkstra		64589		10.2426		10.2429		1		0		1		0		
27		JPS		3037		10.2426		10.2429		1		0		1		0		
27		EDG*		14		10.2426		9.48683		1		0		1		0		


28		A*		61620		9.41421		9.4143		1		0		1		0		
28		Dijkstra		67942		9.41421		9.4143		1		0		1		0		
28		JPS		13932		9.41421		9.4143		1		0		1		0		
28		EDG*		14		9.41421		9.05539		1		0		1		0		


29		A*		60435		10.6569		10.6572		1		0		1		0		
29		Dijkstra		67306		10.6569		10.6572		1		0		1		0		
29		JPS		16823		10.6569		10.6572		1		0		1		0		
29		EDG*		15		10.6569		9.84886		1		0		1		0		


30		A*		61143		10.2426		10.2429		1		0		1		0		
30		Dijkstra		70698		10.2426		10.2429		1		0		1		0		
30		JPS		6013		10.2426		10.2429		1		0		1		0		
30		EDG*		15		10.2426		9.48683		1		0		1		0		


31		A*		63839		12.8995		12.9001		1		0		1		0		
31		Dijkstra		66195		12.8995		12.9001		1		0		1		0		
31		JPS		11712		12.8995		12.9001		1		0		1		0		
31		EDG*		16		12.8995		12.2066		1		0		1		0		


32		A*		62161		13.8284		13.8286		1		0		1		0		
32		Dijkstra		67705		13.8284		13.8286		1		0		1		0		
32		JPS		3980		13.8284		13.8286		1		0		1		0		
32		EDG*		17		13.8284		13.1529		1		0		1		0		


33		A*		62483		14.1421		14.143		1		0		1		0		
33		Dijkstra		75805		14.1421		14.143		1		0		1		0		
33		JPS		5581		14.1421		14.143		1		0		1		0		
33		EDG*		18		14.1421		14.1421		1		0		1		0		


34		A*		66698		15.4853		15.4858		1		0		1		0		
34		Dijkstra		70965		15.4853		15.4858		1		0		1		0		
34		JPS		1255		15.4853		15.4858		1		0		1		0		
34		EDG*		25		15.4853		14.3178		1		0		1		0		


35		A*		62403		15.2426		15.2429		1		0		1		0		
35		Dijkstra		66669		15.2426		15.2429		1		0		1		0		
35		JPS		269		15.2426		15.2429		1		0		1		0		
35		EDG*		17		15.2426		14.3178		1		0		1		0		


36		A*		61750		13.8284		13.8286		1		0		1		0		
36		Dijkstra		65793		13.8284		13.8286		1		0		1		0		
36		JPS		3799		13.8284		13.8286		1		0		1		0		
36		EDG*		19		13.8284		13.1529		1		0		1		0		


37		A*		60805		12.0711		11.4858		1		0		1		0		
37		Dijkstra		62805		12.0711		11.4858		1		0		1		0		
37		JPS		1532		12.0711		11.4858		1		0		1		0		
37		EDG*		19		12.0711		10.8167		1		0		1		0		


38		A*		60771		15.1421		15.143		1		0		1		0		
38		Dijkstra		67207		15.1421		15.143		1		0		1		0		
38		JPS		9517		15.1421		15.143		1		0		1		0		
38		EDG*		21		15.1421		14.8661		1		0		1		0		


39		A*		60908		13.6569		13.6572		1		0		1		0		
39		Dijkstra		67587		13.6569		13.6572		1		0		1		0		
39		JPS		808		13.6569		13.6572		1		0		1		0		
39		EDG*		19		13.6569		12.6491		1		0		1		0		


40		A*		62389		12.6569		12.6572		1		0		1		0		
40		Dijkstra		66894		12.6569		12.6572		1		0		1		0		
40		JPS		22543		12.6569		12.6572		1		0		1		0		
40		EDG*		19		12.6569		11.7047		1		0		1		0		


41		A*		66865		19.6569		19.6572		1		0		1		0		
41		Dijkstra		73987		19.6569		19.6572		1		0		1		0		
41		JPS		756		19.6569		19.6572		1		0		1		0		
41		EDG*		19		19.6569		18.4391		1		0		1		0		


42		A*		60606		17.8284		17.8286		1		0		1		0		
42		Dijkstra		68045		17.8284		17.8286		1		0		1		0		
42		JPS		4512		17.8284		17.8286		1		0		1		0		
42		EDG*		21		17.8284		17.1172		1		0		1		0		


43		A*		62383		19.5563		19.5573		1		0		1		0		
43		Dijkstra		74443		19.5563		19.5573		1		0		1		0		
43		JPS		9299		19.5563		19.5573		1		0		1		0		
43		EDG*		24		19.5563		18.6011		1		0		1		0		


44		A*		61179		17.3137		17.3144		1		0		1		0		
44		Dijkstra		69195		17.3137		17.3144		1		0		1		0		
44		JPS		9580		17.3137		17.3144		1		0		1		0		
44		EDG*		19		17.3137		16.1245		1		0		1		0		


45		A*		61323		19.4142		19.4143		1		0		1		0		
45		Dijkstra		74306		19.4142		19.4143		1		0		1		0		
45		JPS		766		19.4142		19.4143		1		0		1		0		
45		EDG*		20		19.4142		19.0263		1		0		1		0		


46		A*		62011		17.6569		17.6572		1		0		1		0		
46		Dijkstra		71566		17.6569		17.6572		1		0		1		0		
46		JPS		8054		17.6569		17.6572		1		0		1		0		
46		EDG*		24		17.6569		16.4924		1		0		1		0		


47		A*		62283		17.8995		17.9001		1		0		1		0		
47		Dijkstra		71849		17.8995		17.9001		1		0		1		0		
47		JPS		13522		17.8995		17.9001		1		0		1		0		
47		EDG*		25		17.8995		16.5529		1		0		1		0		


48		A*		60868		16.5563		16.5573		1		0		1		0		
48		Dijkstra		70307		16.5563		16.5573		1		0		1		0		
48		JPS		2301		16.5563		16.5573		1		0		1		0		
48		EDG*		18		16.5563		16.2788		1		0		1		0		


49		A*		61801		17.8284		17.8286		1		0		1		0		
49		Dijkstra		70884		17.8284		17.8286		1		0		1		0		
49		JPS		2922		17.8284		17.8286		1		0		1		0		
49		EDG*		19		17.8284		17.1172		1		0		1		0		


50		A*		61085		18.5563		18.5573		1		0		1		0		
50		Dijkstra		69907		18.5563		18.5573		1		0		1		0		
50		JPS		5100		18.5563		18.5573		1		0		1		0		
50		EDG*		19		18.5563		17.8045		1		0		1		0		


51		A*		61868		23.8995		23.9001		1		0		1		0		
51		Dijkstra		80259		23.8995		23.9001		1		0		1		0		
51		JPS		2450		23.8995		23.9001		1		0		1		0		
51		EDG*		23		23.8995		22.1359		1		0		1		0		


52		A*		61979		22.8284		22.8286		1		0		1		0		
52		Dijkstra		78120		22.8284		22.8286		1		0		1		0		
52		JPS		23630		22.8284		22.8286		1		0		1		0		
52		EDG*		35		22.8284		22.0907		1		0		1		0		


53		A*		78357		22.9706		22.9716		1		0		1		0		
53		Dijkstra		76120		22.9706		22.9716		1		0		1		0		
53		JPS		1843		22.9706		22.9716		1		0		1		0		
53		EDG*		18		22.9706		21.6333		1		0		1		0		


54		A*		62800		23.799		23.8002		1		0		1		0		
54		Dijkstra		79255		23.799		23.8002		1		0		1		0		
54		JPS		2452		23.799		23.8002		1		0		1		0		
54		EDG*		27		23.799		22.8035		1		0		1		0		


55		A*		60629		23.1421		23.143		1		0		1		0		
55		Dijkstra		83134		23.1421		23.143		1		0		1		0		
55		JPS		6450		23.1421		23.143		1		0		1		0		
55		EDG*		18		23.1421		21.4709		1		0		1		0		


56		A*		62433		20.3137		20.3144		1		0		1		0		
56		Dijkstra		75376		20.3137		20.3144		1		0		1		0		
56		JPS		9519		20.3137		20.3144		1		0		1		0		
56		EDG*		17		20.3137		18.7883		1		0		1		0		


57		A*		62317		21.7279		21.7287		1		0		1		0		
57		Dijkstra		76914		21.7279		21.7287		1		0		1		0		
57		JPS		6189		21.7279		21.7287		1		0		1		0		
57		EDG*		18		21.7279		20.1246		1		0		1		0		


58		A*		61511		23.799		23.8002		1		0		1		0		
