地图名称：Moscow_1_1024.map
算例总数：3870


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		62393		1		1		1		0		1		0		
1		Dijkstra		60833		1		1		1		0		1		0		
1		JPS		946		1		1		1		0		1		0		
1		EDG*		7		1		1		1		0		1		125909		


2		A*		61122		1.41421		1.4143		1		0		1		0		
2		Dijkstra		60931		1.41421		1.4143		1		0		1		0		
2		JPS		1919		1.41421		1.4143		1		0		1		0		
2		EDG*		7		1.41421		1.41421		1		0		1		0		


3		A*		61564		2.82843		2.8286		1		0		1		0		
3		Dijkstra		65902		2.82843		2.8286		1		0		1		0		
3		JPS		6647		2.82843		2.8286		1		0		1		0		
3		EDG*		8		2.82843		2.82843		1		0		1		0		


4		A*		62266		2.82843		2.8286		1		0		1		0		
4		Dijkstra		61012		2.82843		2.8286		1		0		1		0		
4		JPS		2412		2.82843		2.8286		1		0		1		0		
4		EDG*		11		2.82843		2.82843		1		0		1		0		


5		A*		67498		3.41421		3.4143		1		0		1		0		
5		Dijkstra		62406		3.41421		3.4143		1		0		1		0		
5		JPS		2058		3.41421		3.4143		1		0		1		0		
5		EDG*		10		3.41421		3.16228		1		0		1		0		


6		A*		61052		2.41421		2.4143		1		0		1		0		
6		Dijkstra		61302		2.41421		2.4143		1		0		1		0		
6		JPS		2688		2.41421		2.4143		1		0		1		0		
6		EDG*		10		2.41421		2.23607		1		0		1		0		


7		A*		60802		2.41421		2.4143		1		0		1		0		
7		Dijkstra		61555		2.41421		2.4143		1		0		1		0		
7		JPS		4756		2.41421		2.4143		1		0		1		0		
7		EDG*		8		2.41421		2.23607		1		0		1		0		


8		A*		60508		3		3		1		0		1		0		
8		Dijkstra		60584		3		3		1		0		1		0		
8		JPS		9433		3		3		1		0		1		0		
8		EDG*		10		3		3		1		0		1		0		


9		A*		68479		2.82843		2.8286		1		0		1		0		
9		Dijkstra		69375		2.82843		2.8286		1		0		1		0		
9		JPS		2081		2.82843		2.8286		1		0		1		0		
9		EDG*		8		2.82843		2.82843		1		0		1		0		


10		A*		59676		1.41421		1.4143		1		0		1		0		
10		Dijkstra		59299		1.41421		1.4143		1		0		1		0		
10		JPS		2767		1.41421		1.4143		1		0		1		0		
10		EDG*		7		1.41421		1.41421		1		0		1		0		


11		A*		61997		5.24264		5.2429		1		0		1		0		
11		Dijkstra		63537		5.24264		5.2429		1		0		1		0		
11		JPS		587		5.24264		5.2429		1		0		1		0		
11		EDG*		11		5.24264		5		1		0		1		0		


12		A*		61219		7		7		1		0		1		0		
12		Dijkstra		63932		7		7		1		0		1		0		
12		JPS		1085		7		7		1		0		1		0		
12		EDG*		13		7		7		1		0		1		0		


13		A*		61751		6.82843		6.8286		1		0		1		0		
13		Dijkstra		63335		6.82843		6.8286		1		0		1		0		
13		JPS		7300		6.82843		6.8286		1		0		1		0		
13		EDG*		12		6.82843		6.32456		1		0		1		0		


14		A*		61075		4.41421		4.4143		1		0		1		0		
14		Dijkstra		61407		4.41421		4.4143		1		0		1		0		
14		JPS		2061		4.41421		4.4143		1		0		1		0		
14		EDG*		11		4.41421		4.12311		1		0		1		0		


15		A*		59058		7.24264		7.2429		1		0		1		0		
15		Dijkstra		61028		7.24264		7.2429		1		0		1		0		
15		JPS		5574		7.24264		7.2429		1		0		1		0		
15		EDG*		12		7.24264		6.7082		1		0		1		0		


16		A*		60638		5.24264		5.2429		1		0		1		0		
16		Dijkstra		61647		5.24264		5.2429		1		0		1		0		
16		JPS		5551		5.24264		5.2429		1		0		1		0		
16		EDG*		11		5.24264		5		1		0		1		0		


17		A*		62630		6.41421		6.4143		1		0		1		0		
17		Dijkstra		62442		6.41421		6.4143		1		0		1		0		
17		JPS		935		6.41421		6.4143		1		0		1		0		
17		EDG*		12		6.41421		6.08276		1		0		1		0		


18		A*		62148		6.65685		6.6572		1		0		1		0		
18		Dijkstra		63634		6.65685		6.6572		1		0		1		0		
18		JPS		11838		6.65685		6.6572		1		0		1		0		
18		EDG*		11		6.65685		6.40312		1		0		1		0		


19		A*		61058		7.24264		7.2429		1		0		1		0		
19		Dijkstra		62096		7.24264		7.2429		1		0		1		0		
19		JPS		1019		7.24264		7.2429		1		0		1		0		
19		EDG*		12		7.24264		6.7082		1		0		1		0		


20		A*		61649		7.41421		7.4143		1		0		1		0		
20		Dijkstra		66827		7.41421		7.4143		1		0		1		0		
20		JPS		1732		7.41421		7.4143		1		0		1		0		
20		EDG*		13		7.41421		7.07107		1		0		1		0		


21		A*		61796		8.48528		8.4858		1		0		1		0		
21		Dijkstra		64863		8.48528		8.4858		1		0		1		0		
21		JPS		6469		8.48528		8.4858		1		0		1		0		
21		EDG*		12		8.48528		8.48528		1		0		1		0		


22		A*		61302		8.07107		8.0715		1		0		1		0		
22		Dijkstra		65208		8.07107		8.0715		1		0		1		0		
22		JPS		4769		8.07107		8.0715		1		0		1		0		
22		EDG*		13		8.07107		7.81025		1		0		1		0		


23		A*		62440		8.48528		8.4858		1		0		1		0		
23		Dijkstra		65809		8.48528		8.4858		1		0		1		0		
23		JPS		2293		8.48528		8.4858		1		0		1		0		
23		EDG*		12		8.48528		8.48528		1		0		1		0		


24		A*		61543		10.4142		10.4143		1		0		1		0		
24		Dijkstra		64450		10.4142		10.4143		1		0		1		0		
24		JPS		1778		10.4142		10.4143		1		0		1		0		
24		EDG*		15		10.4142		10.0499		1		0		1		0		


25		A*		61946		9.41421		9.4143		1		0		1		0		
25		Dijkstra		62967		9.41421		9.4143		1		0		1		0		
25		JPS		1040		9.41421		9.4143		1		0		1		0		
25		EDG*		13		9.41421		9.05539		1		0		1		0		


26		A*		62524		11.0711		11.0715		1		0		1		0		
26		Dijkstra		65544		11.0711		11.0715		1		0		1		0		
26		JPS		2145		11.0711		11.0715		1		0		1		0		
26		EDG*		13		11.0711		10.2956		1		0		1		0		


27		A*		60271		10.0711		10.0715		1		0		1		0		
27		Dijkstra		62456		10.0711		10.0715		1		0		1		0		
27		JPS		5298		10.0711		10.0715		1		0		1		0		
27		EDG*		14		10.0711		9.43398		1		0		1		0		


28		A*		61877		9.07107		9.0715		1		0		1		0		
28		Dijkstra		65278		9.07107		9.0715		1		0		1		0		
28		JPS		4177		9.07107		9.0715		1		0		1		0		
28		EDG*		12		9.07107		8.60233		1		0		1		0		


29		A*		61396		11.6569		11.6572		1		0		1		0		
29		Dijkstra		65620		11.6569		11.6572		1		0		1		0		
29		JPS		1514		11.6569		11.6572		1		0		1		0		
29		EDG*		15		11.6569		10.7703		1		0		1		0		


30		A*		63334		9.41421		9.4143		1		0		1		0		
30		Dijkstra		63917		9.41421		9.4143		1		0		1		0		
30		JPS		7365		9.41421		9.4143		1		0		1		0		
30		EDG*		14		9.41421		9.05539		1		0		1		0		


31		A*		62082		15.4853		15.4858		1		0		1		0		
31		Dijkstra		68799		15.4853		15.4858		1		0		1		0		
31		JPS		1748		15.4853		15.4858		1		0		1		0		
31		EDG*		15		15.4853		14.3178		1		0		1		0		


32		A*		61596		12.2426		12.2429		1		0		1		0		
32		Dijkstra		74373		12.2426		12.2429		1		0		1		0		
32		JPS		1143		12.2426		12.2429		1		0		1		0		
32		EDG*		15		12.2426		11.4018		1		0		1		0		


33		A*		67064		15.4853		15.4858		1		0		1		0		
33		Dijkstra		69878		15.4853		15.4858		1		0		1		0		
33		JPS		11428		15.4853		15.4858		1		0		1		0		
33		EDG*		15		15.4853		14.3178		1		0		1		0		


34		A*		61107		14.0711		14.0715		1		0		1		0		
34		Dijkstra		67168		14.0711		14.0715		1		0		1		0		
34		JPS		1166		14.0711		14.0715		1		0		1		0		
34		EDG*		16		14.0711		13		1		0		1		0		


35		A*		60844		14.8284		14.8286		1		0		1		0		
35		Dijkstra		73664		14.8284		14.8286		1		0		1		0		
35		JPS		1978		14.8284		14.8286		1		0		1		0		
35		EDG*		16		14.8284		14.1421		1		0		1		0		


36		A*		61154		15.1421		15.143		1		0		1		0		
36		Dijkstra		66089		15.1421		15.143		1		0		1		0		
36		JPS		5201		15.1421		15.143		1		0		1		0		
36		EDG*		20		15.1421		14.8661		1		0		1		0		


37		A*		119665		12.3137		12.3144		1		0		1		0		
37		Dijkstra		68859		12.3137		12.3144		1		0		1		0		
37		JPS		10400		12.3137		12.3144		1		0		1		0		
37		EDG*		13		12.3137		12.0416		1		0		1		0		


38		A*		66128		14.2426		14.2429		1		0		1		0		
38		Dijkstra		67664		14.2426		14.2429		1		0		1		0		
38		JPS		2036		14.2426		14.2429		1		0		1		0		
38		EDG*		15		14.2426		13.3417		1		0		1		0		


39		A*		62307		13.2426		13.2429		1		0		1		0		
39		Dijkstra		68991		13.2426		13.2429		1		0		1		0		
39		JPS		7540		13.2426		13.2429		1		0		1		0		
39		EDG*		15		13.2426		12.3693		1		0		1		0		


40		A*		60918		14.3137		14.3144		1		0		1		0		
40		Dijkstra		64313		14.3137		14.3144		1		0		1		0		
40		JPS		1499		14.3137		14.3144		1		0		1		0		
40		EDG*		15		14.3137		13.6015		1		0		1		0		


41		A*		61918		16.0711		16.0715		1		0		1		0		
41		Dijkstra		70888		16.0711		16.0715		1		0		1		0		
41		JPS		2472		16.0711		16.0715		1		0		1		0		
41		EDG*		16		16.0711		14.8661		1		0		1		0		


42		A*		65529		17.8995		17.9001		1		0		1		0		
42		Dijkstra		72421		17.8995		17.9001		1		0		1		0		
42		JPS		2851		17.8995		17.9001		1		0		1		0		
42		EDG*		17		17.8995		16.5529		1		0		1		0		


43		A*		61474		18.1421		18.143		1		0		1		0		
43		Dijkstra		72930		18.1421		18.143		1		0		1		0		
43		JPS		819		18.1421		18.143		1		0		1		0		
43		EDG*		16		18.1421		17.2047		1		0		1		0		


44		A*		61180		17.3137		17.3144		1		0		1		0		
44		Dijkstra		71208		17.3137		17.3144		1		0		1		0		
44		JPS		5030		17.3137		17.3144		1		0		1		0		
44		EDG*		16		17.3137		16.1245		1		0		1		0		


45		A*		92483		16.2426		16.2429		1		0		1		0		
45		Dijkstra		70645		16.2426		16.2429		1		0		1		0		
45		JPS		11152		16.2426		16.2429		1		0		1		0		
45		EDG*		17		16.2426		15.2971		1		0		1		0		


46		A*		61337		16.8995		16.9001		1		0		1		0		
46		Dijkstra		73156		16.8995		16.9001		1		0		1		0		
46		JPS		3813		16.8995		16.9001		1		0		1		0		
46		EDG*		16		16.8995		15.6525		1		0		1		0		


47		A*		66361		16		16		1		0		1		0		
47		Dijkstra		68841		16		16		1		0		1		0		
47		JPS		1682		16		16		1		0		1		0		
47		EDG*		18		16		16		1		0		1		0		


48		A*		60782		17.0711		17.0715		1		0		1		0		
48		Dijkstra		68822		17.0711		17.0715		1		0		1		0		
48		JPS		5510		17.0711		17.0715		1		0		1		0		
48		EDG*		17		17.0711		15.8114		1		0		1		0		


49		A*		62071		18.3137		18.3144		1		0		1		0		
49		Dijkstra		69230		18.3137		18.3144		1		0		1		0		
49		JPS		1094		18.3137		18.3144		1		0		1		0		
49		EDG*		19		18.3137		17		1		0		1		0		


50		A*		60004		18.2426		18.2429		1		0		1		0		
50		Dijkstra		70331		18.2426		18.2429		1		0		1		0		
50		JPS		1579		18.2426		18.2429		1		0		1		0		
50		EDG*		17		18.2426		17.2627		1		0		1		0		


51		A*		61527		20.799		20.8002		1		0		1		0		
51		Dijkstra		76986		20.799		20.8002		1		0		1		0		
51		JPS		2333		20.799		20.8002		1		0		1		0		
51		EDG*		17		20.799		20.5183		1		0		1		0		


52		A*		61863		21.4853		21.4858		1		0		1		0		
52		Dijkstra		76649		21.4853		21.4858		1		0		1		0		
52		JPS		4501		21.4853		21.4858		1		0		1		0		
52		EDG*		18		21.4853		19.9249		1		0		1		0		


53		A*		62208		22.3137		22.3144		1		0		1		0		
53		Dijkstra		77416		22.3137		22.3144		1		0		1		0		
53		JPS		15274		22.3137		22.3144		1		0		1		0		
53		EDG*		24		22.3137		20.6155		1		0		1		0		


54		A*		78422		20.3848		20.3859		1		0		1		0		
54		Dijkstra		73751		20.3848		20.3859		1		0		1		0		
54		JPS		4326		20.3848		20.3859		1		0		1		0		
54		EDG*		18		20.3848		19.8494		1		0		1		0		


55		A*		99079		22.0711		22.0715		1		0		1		0		
55		Dijkstra		77094		22.0711		22.0715		1		0		1		0		
55		JPS		3201		22.0711		22.0715		1		0		1		0		
55		EDG*		19		22.0711		20.6155		1		0		1		0		


56		A*		60163		23.799		23.8002		1		0		1		0		
56		Dijkstra		76263		23.799		23.8002		1		0		1		0		
56		JPS		1137		23.799		23.8002		1		0		1		0		
56		EDG*		18		23.799		22.8035		1		0		1		0		


57		A*		59800		21.2132		21.2145		1		0		1		0		
57		Dijkstra		72830		21.2132		21.2145		1		0		1		0		
57		JPS		991		21.2132		21.2145		1		0		1		0		
