地图名称：NewYork_2_1024.map
算例总数：3680


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		57733		3.41421		3.4143		1		0		1		0		
1		Dijkstra		58075		3.41421		3.4143		1		0		1		0		
1		JPS		2041		3.41421		3.4143		1		0		1		0		
1		EDG*		10		3.41421		3.16228		1		0		1		115621		


2		A*		61476		2		2		1		0		1		0		
2		Dijkstra		59520		2		2		1		0		1		0		
2		JPS		1110		2		2		1		0		1		0		
2		EDG*		8		2		2		1		0		1		0		


3		A*		59683		1		1		1		0		1		0		
3		Dijkstra		60039		1		1		1		0		1		0		
3		JPS		5774		1		1		1		0		1		0		
3		EDG*		7		1		1		1		0		1		0		


4		A*		62374		3		3		1		0		1		0		
4		Dijkstra		62890		3		3		1		0		1		0		
4		JPS		10943		3		3		1		0		1		0		
4		EDG*		10		3		3		1		0		1		0		


5		A*		63502		1.41421		1.4143		1		0		1		0		
5		Dijkstra		71956		1.41421		1.4143		1		0		1		0		
5		JPS		6428		1.41421		1.4143		1		0		1		0		
5		EDG*		7		1.41421		1.41421		1		0		1		0		


6		A*		61630		3.41421		3.4143		1		0		1		0		
6		Dijkstra		60155		3.41421		3.4143		1		0		1		0		
6		JPS		3674		3.41421		3.4143		1		0		1		0		
6		EDG*		10		3.41421		3.16228		1		0		1		0		


7		A*		59810		3.41421		3.4143		1		0		1		0		
7		Dijkstra		60040		3.41421		3.4143		1		0		1		0		
7		JPS		6234		3.41421		3.4143		1		0		1		0		
7		EDG*		10		3.41421		3.16228		1		0		1		0		


8		A*		59811		1		1		1		0		1		0		
8		Dijkstra		61281		1		1		1		0		1		0		
8		JPS		7206		1		1		1		0		1		0		
8		EDG*		7		1		1		1		0		1		0		


9		A*		59644		3		3		1		0		1		0		
9		Dijkstra		60084		3		3		1		0		1		0		
9		JPS		2498		3		3		1		0		1		0		
9		EDG*		9		3		3		1		0		1		0		


10		A*		60440		2.41421		2.4143		1		0		1		0		
10		Dijkstra		57973		2.41421		2.4143		1		0		1		0		
10		JPS		3368		2.41421		2.4143		1		0		1		0		
10		EDG*		8		2.41421		2.23607		1		0		1		0		


11		A*		58595		7.41421		7.4143		1		0		1		0		
11		Dijkstra		60994		7.41421		7.4143		1		0		1		0		
11		JPS		4732		7.41421		7.4143		1		0		1		0		
11		EDG*		13		7.41421		7.07107		1		0		1		0		


12		A*		59909		4		4		1		0		1		0		
12		Dijkstra		60066		4		4		1		0		1		0		
12		JPS		9100		4		4		1		0		1		0		
12		EDG*		11		4		4		1		0		1		0		


13		A*		60763		5.82843		5.8286		1		0		1		0		
13		Dijkstra		60991		5.82843		5.8286		1		0		1		0		
13		JPS		4709		5.82843		5.8286		1		0		1		0		
13		EDG*		12		5.82843		5.38516		1		0		1		0		


14		A*		59692		5.65685		5.6572		1		0		1		0		
14		Dijkstra		62954		5.65685		5.6572		1		0		1		0		
14		JPS		2335		5.65685		5.6572		1		0		1		0		
14		EDG*		11		5.65685		5.65685		1		0		1		0		


15		A*		60416		7.24264		7.2429		1		0		1		0		
15		Dijkstra		59401		7.24264		7.2429		1		0		1		0		
15		JPS		1208		7.24264		7.2429		1		0		1		0		
15		EDG*		12		7.24264		6.7082		1		0		1		0		


16		A*		58662		5		5		1		0		1		0		
16		Dijkstra		60015		5		5		1		0		1		0		
16		JPS		9571		5		5		1		0		1		0		
16		EDG*		12		5		5		1		0		1		0		


17		A*		61854		7.65685		7.6572		1		0		1		0		
17		Dijkstra		61432		7.65685		7.6572		1		0		1		0		
17		JPS		9080		7.65685		7.6572		1		0		1		0		
17		EDG*		12		7.65685		7.2111		1		0		1		0		


18		A*		59726		4.41421		4.4143		1		0		1		0		
18		Dijkstra		60643		4.41421		4.4143		1		0		1		0		
18		JPS		5870		4.41421		4.4143		1		0		1		0		
18		EDG*		11		4.41421		4.12311		1		0		1		0		


19		A*		62368		6.24264		6.2429		1		0		1		0		
19		Dijkstra		61442		6.24264		6.2429		1		0		1		0		
19		JPS		5358		6.24264		6.2429		1		0		1		0		
19		EDG*		12		6.24264		5.83095		1		0		1		0		


20		A*		60481		6.82843		6.8286		1		0		1		0		
20		Dijkstra		59188		6.82843		6.8286		1		0		1		0		
20		JPS		6080		6.82843		6.8286		1		0		1		0		
20		EDG*		11		6.82843		6.32456		1		0		1		0		


21		A*		58495		10.8284		10.8286		1		0		1		0		
21		Dijkstra		62809		10.8284		10.8286		1		0		1		0		
21		JPS		7414		10.8284		10.8286		1		0		1		0		
21		EDG*		15		10.8284		10.198		1		0		1		0		


22		A*		60069		9.65685		9.6572		1		0		1		0		
22		Dijkstra		64180		9.65685		9.6572		1		0		1		0		
22		JPS		7427		9.65685		9.6572		1		0		1		0		
22		EDG*		13		9.65685		8.94427		1		0		1		0		


23		A*		59797		9.24264		9.2429		1		0		1		0		
23		Dijkstra		62658		9.24264		9.2429		1		0		1		0		
23		JPS		4297		9.24264		9.2429		1		0		1		0		
23		EDG*		13		9.24264		8.544		1		0		1		0		


24		A*		59825		8.07107		8.0715		1		0		1		0		
24		Dijkstra		61884		8.07107		8.0715		1		0		1		0		
24		JPS		13211		8.07107		8.0715		1		0		1		0		
24		EDG*		13		8.07107		7.81025		1		0		1		0		


25		A*		58304		9.48528		9.4858		1		0		1		0		
25		Dijkstra		60659		9.48528		9.4858		1		0		1		0		
25		JPS		4551		9.48528		9.4858		1		0		1		0		
25		EDG*		14		9.48528		9.21954		1		0		1		0		


26		A*		59536		11.0711		11.0715		1		0		1		0		
26		Dijkstra		65481		11.0711		11.0715		1		0		1		0		
26		JPS		7026		11.0711		11.0715		1		0		1		0		
26		EDG*		14		11.0711		10.2956		1		0		1		0		


27		A*		61667		10.6569		10.6572		1		0		1		0		
27		Dijkstra		63381		10.6569		10.6572		1		0		1		0		
27		JPS		5133		10.6569		10.6572		1		0		1		0		
27		EDG*		13		10.6569		9.84886		1		0		1		0		


28		A*		59984		9.82843		9.8286		1		0		1		0		
28		Dijkstra		63015		9.82843		9.8286		1		0		1		0		
28		JPS		9114		9.82843		9.8286		1		0		1		0		
28		EDG*		13		9.82843		9.21954		1		0		1		0		


29		A*		61968		8.07107		8.0715		1		0		1		0		
29		Dijkstra		61820		8.07107		8.0715		1		0		1		0		
29		JPS		5051		8.07107		8.0715		1		0		1		0		
29		EDG*		12		8.07107		7.81025		1		0		1		0		


30		A*		57873		8.82843		8.8286		1		0		1		0		
30		Dijkstra		60188		8.82843		8.8286		1		0		1		0		
30		JPS		17134		8.82843		8.8286		1		0		1		0		
30		EDG*		13		8.82843		8.24621		1		0		1		0		


31		A*		59491		14.4142		14.4143		1		0		1		0		
31		Dijkstra		66333		14.4142		14.4143		1		0		1		0		
31		JPS		5724		14.4142		14.4143		1		0		1		0		
31		EDG*		16		14.4142		14.0357		1		0		1		0		


32		A*		59843		15.4853		15.4858		1		0		1		0		
32		Dijkstra		66920		15.4853		15.4858		1		0		1		0		
32		JPS		20520		15.4853		15.4858		1		0		1		0		
32		EDG*		16		15.4853		14.3178		1		0		1		0		


33		A*		60042		13.8995		13.9001		1		0		1		0		
33		Dijkstra		65618		13.8995		13.9001		1		0		1		0		
33		JPS		10071		13.8995		13.9001		1		0		1		0		
33		EDG*		15		13.8995		13.0384		1		0		1		0		


34		A*		60142		12.3137		12.3144		1		0		1		0		
34		Dijkstra		64449		12.3137		12.3144		1		0		1		0		
34		JPS		1458		12.3137		12.3144		1		0		1		0		
34		EDG*		14		12.3137		12.0416		1		0		1		0		


35		A*		57951		15.0711		15.0715		1		0		1		0		
35		Dijkstra		64424		15.0711		15.0715		1		0		1		0		
35		JPS		2261		15.0711		15.0715		1		0		1		0		
35		EDG*		15		15.0711		13.9284		1		0		1		0		


36		A*		61184		15.1421		15.143		1		0		1		0		
36		Dijkstra		67834		15.1421		15.143		1		0		1		0		
36		JPS		4118		15.1421		15.143		1		0		1		0		
36		EDG*		15		15.1421		14.8661		1		0		1		0		


37		A*		60148		15.4142		15.4143		1		0		1		0		
37		Dijkstra		67234		15.4142		15.4143		1		0		1		0		
37		JPS		7605		15.4142		15.4143		1		0		1		0		
37		EDG*		16		15.4142		15.0333		1		0		1		0		


38		A*		60192		15.8284		15.8286		1		0		1		0		
38		Dijkstra		67466		15.8284		15.8286		1		0		1		0		
38		JPS		7150		15.8284		15.8286		1		0		1		0		
38		EDG*		17		15.8284		15.1327		1		0		1		0		


39		A*		60031		13.4853		13.4858		1		0		1		0		
39		Dijkstra		65349		13.4853		13.4858		1		0		1		0		
39		JPS		9964		13.4853		13.4858		1		0		1		0		
39		EDG*		15		13.4853		12.53		1		0		1		0		


40		A*		60208		14.7279		14.7287		1		0		1		0		
40		Dijkstra		65185		14.7279		14.7287		1		0		1		0		
40		JPS		16691		14.7279		14.7287		1		0		1		0		
40		EDG*		15		14.7279		14.2127		1		0		1		0		


41		A*		59748		17.0711		17.0715		1		0		1		0		
41		Dijkstra		68733		17.0711		17.0715		1		0		1		0		
41		JPS		2257		17.0711		17.0715		1		0		1		0		
41		EDG*		18		17.0711		15.8114		1		0		1		0		


42		A*		62027		18.7279		18.7287		1		0		1		0		
42		Dijkstra		70392		18.7279		18.7287		1		0		1		0		
42		JPS		1277		18.7279		18.7287		1		0		1		0		
42		EDG*		17		18.7279		17.4929		1		0		1		0		


43		A*		59936		17		17		1		0		1		0		
43		Dijkstra		68699		17		17		1		0		1		0		
43		JPS		9854		17		17		1		0		1		0		
43		EDG*		16		17		17		1		0		1		0		


44		A*		60073		17.8995		17.9001		1		0		1		0		
44		Dijkstra		68475		17.8995		17.9001		1		0		1		0		
44		JPS		2314		17.8995		17.9001		1		0		1		0		
44		EDG*		17		17.8995		16.5529		1		0		1		0		


45		A*		59320		17.4853		17.4858		1		0		1		0		
45		Dijkstra		68778		17.4853		17.4858		1		0		1		0		
45		JPS		8357		17.4853		17.4858		1		0		1		0		
45		EDG*		16		17.4853		16.1555		1		0		1		0		


46		A*		59986		18		18		1		0		1		0		
46		Dijkstra		69721		18		18		1		0		1		0		
46		JPS		5671		18		18		1		0		1		0		
46		EDG*		18		18		18		1		0		1		0		


47		A*		62319		16.4853		16.4858		1		0		1		0		
47		Dijkstra		68143		16.4853		16.4858		1		0		1		0		
47		JPS		12223		16.4853		16.4858		1		0		1		0		
47		EDG*		15		16.4853		15.2315		1		0		1		0		


48		A*		61532		18.8284		18.8286		1		0		1		0		
48		Dijkstra		73101		18.8284		18.8286		1		0		1		0		
48		JPS		6170		18.8284		18.8286		1		0		1		0		
48		EDG*		18		18.8284		18.1108		1		0		1		0		


49		A*		62089		17.4853		17.4858		1		0		1		0		
49		Dijkstra		67165		17.4853		17.4858		1		0		1		0		
49		JPS		5432		17.4853		17.4858		1		0		1		0		
49		EDG*		17		17.4853		16.1555		1		0		1		0		


50		A*		60382		19.799		19.8002		1		0		1		0		
50		Dijkstra		71147		19.799		19.8002		1		0		1		0		
50		JPS		8151		19.799		19.8002		1		0		1		0		
50		EDG*		16		19.799		19.799		1		0		1		0		


51		A*		59910		21		21		1		0		1		0		
51		Dijkstra		73163		21		21		1		0		1		0		
51		JPS		7174		21		21		1		0		1		0		
51		EDG*		17		21		21		1		0		1		0		


52		A*		60123		20.4853		20.4858		1		0		1		0		
52		Dijkstra		72590		20.4853		20.4858		1		0		1		0		
52		JPS		5610		20.4853		20.4858		1		0		1		0		
52		EDG*		17		20.4853		18.9737		1		0		1		0		


53		A*		59861		20.3848		20.3859		1		0		1		0		
53		Dijkstra		72304		20.3848		20.3859		1		0		1		0		
53		JPS		6943		20.3848		20.3859		1		0		1		0		
53		EDG*		17		20.3848		19.8494		1		0		1		0		


54		A*		60725		21.0711		21.0715		1		0		1		0		
54		Dijkstra		74930		21.0711		21.0715		1		0		1		0		
54		JPS		4872		21.0711		21.0715		1		0		1		0		
54		EDG*		18		21.0711		19.6469		1		0		1		0		


55		A*		61906		21.9706		21.9716		1		0		1		0		
55		Dijkstra		74378		21.9706		21.9716		1		0		1		0		
55		JPS		6799		21.9706		21.9716		1		0		1		0		
55		EDG*		17		21.9706		20.8087		1		0		1		0		


56		A*		59865		23.6274		23.6288		1		0		1		0		
56		Dijkstra		76346		23.6274		23.6288		1		0		1		0		
56		JPS		16171		23.6274		23.6288		1		0		1		0		
56		EDG*		17		23.6274		23.3452		1		0		1		0		


57		A*		59889		22.0711		22.0715		1		0		1		0		
57		Dijkstra		74539		22.0711		22.0715		1		0		1		0		
57		JPS		7369		22.0711		22.0715		1		0		1		0		
57		EDG*		19		22.0711		20.6155		1		0		1		0		


58		A*		60178		21.7279		21.7287		1		0		1		0		
58		Dijkstra		74013		21.7279		21.7287		1		0		1		0		
58		JPS		4243		21.7279		21.7287		1		0		1		0		
