地图名称：Shanghai_0_1024.map
算例总数：3680


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		58220		1		1		1		0		1		0		
1		Dijkstra		57672		1		1		1		0		1		0		
1		JPS		1777		1		1		1		0		1		0		
1		EDG*		7		1		1		1		0		1		90705		


2		A*		58036		2.41421		2.4143		1		0		1		0		
2		Dijkstra		58053		2.41421		2.4143		1		0		1		0		
2		JPS		7001		2.41421		2.4143		1		0		1		0		
2		EDG*		9		2.41421		2.23607		1		0		1		0		


3		A*		58048		3.82843		3.8286		1		0		1		0		
3		Dijkstra		58626		3.82843		3.8286		1		0		1		0		
3		JPS		14042		3.82843		3.8286		1		0		1		0		
3		EDG*		10		3.82843		3.60555		1		0		1		0		


4		A*		65252		2		2		1		0		1		0		
4		Dijkstra		60547		2		2		1		0		1		0		
4		JPS		8589		2		2		1		0		1		0		
4		EDG*		9		2		2		1		0		1		0		


5		A*		60587		2.41421		2.4143		1		0		1		0		
5		Dijkstra		60638		2.41421		2.4143		1		0		1		0		
5		JPS		7400		2.41421		2.4143		1		0		1		0		
5		EDG*		15		2.41421		2.23607		1		0		1		0		


6		A*		60496		3.41421		3.4143		1		0		1		0		
6		Dijkstra		58225		3.41421		3.4143		1		0		1		0		
6		JPS		5177		3.41421		3.4143		1		0		1		0		
6		EDG*		10		3.41421		3.16228		1		0		1		0		


7		A*		57954		3.41421		3.4143		1		0		1		0		
7		Dijkstra		58150		3.41421		3.4143		1		0		1		0		
7		JPS		8826		3.41421		3.4143		1		0		1		0		
7		EDG*		11		3.41421		3.16228		1		0		1		0		


8		A*		57973		1.41421		1.4143		1		0		1		0		
8		Dijkstra		58537		1.41421		1.4143		1		0		1		0		
8		JPS		2698		1.41421		1.4143		1		0		1		0		
8		EDG*		8		1.41421		1.41421		1		0		1		0		


9		A*		57917		2.41421		2.4143		1		0		1		0		
9		Dijkstra		57953		2.41421		2.4143		1		0		1		0		
9		JPS		29711		2.41421		2.4143		1		0		1		0		
9		EDG*		10		2.41421		2.23607		1		0		1		0		


10		A*		58002		3.41421		3.4143		1		0		1		0		
10		Dijkstra		58148		3.41421		3.4143		1		0		1		0		
10		JPS		6771		3.41421		3.4143		1		0		1		0		
10		EDG*		11		3.41421		3.16228		1		0		1		0		


11		A*		58545		6.41421		6.4143		1		0		1		0		
11		Dijkstra		59487		6.41421		6.4143		1		0		1		0		
11		JPS		22548		6.41421		6.4143		1		0		1		0		
11		EDG*		12		6.41421		6.08276		1		0		1		0		


12		A*		58211		4.82843		4.8286		1		0		1		0		
12		Dijkstra		80946		4.82843		4.8286		1		0		1		0		
12		JPS		8181		4.82843		4.8286		1		0		1		0		
12		EDG*		11		4.82843		4.47214		1		0		1		0		


13		A*		59539		4.82843		4.8286		1		0		1		0		
13		Dijkstra		58690		4.82843		4.8286		1		0		1		0		
13		JPS		4793		4.82843		4.8286		1		0		1		0		
13		EDG*		11		4.82843		4.47214		1		0		1		0		


14		A*		58025		7.24264		7.2429		1		0		1		0		
14		Dijkstra		59370		7.24264		7.2429		1		0		1		0		
14		JPS		3950		7.24264		7.2429		1		0		1		0		
14		EDG*		12		7.24264		6.7082		1		0		1		0		


15		A*		58255		5.65685		5.6572		1		0		1		0		
15		Dijkstra		58962		5.65685		5.6572		1		0		1		0		
15		JPS		7998		5.65685		5.6572		1		0		1		0		
15		EDG*		12		5.65685		5.65685		1		0		1		0		


16		A*		58257		4.82843		4.8286		1		0		1		0		
16		Dijkstra		58717		4.82843		4.8286		1		0		1		0		
16		JPS		18056		4.82843		4.8286		1		0		1		0		
16		EDG*		10		4.82843		4.47214		1		0		1		0		


17		A*		57905		5.41421		5.4143		1		0		1		0		
17		Dijkstra		58623		5.41421		5.4143		1		0		1		0		
17		JPS		6625		5.41421		5.4143		1		0		1		0		
17		EDG*		12		5.41421		5.09902		1		0		1		0		


18		A*		58240		7.82843		7.8286		1		0		1		0		
18		Dijkstra		60100		7.82843		7.8286		1		0		1		0		
18		JPS		3713		7.82843		7.8286		1		0		1		0		
18		EDG*		14		7.82843		7.28011		1		0		1		0		


19		A*		58058		4.41421		4.4143		1		0		1		0		
19		Dijkstra		58422		4.41421		4.4143		1		0		1		0		
19		JPS		7895		4.41421		4.4143		1		0		1		0		
19		EDG*		11		4.41421		4.12311		1		0		1		0		


20		A*		58118		6		6		1		0		1		0		
20		Dijkstra		58970		6		6		1		0		1		0		
20		JPS		19829		6		6		1		0		1		0		
20		EDG*		12		6		6		1		0		1		0		


21		A*		59241		8.48528		8.4858		1		0		1		0		
21		Dijkstra		60300		8.48528		8.4858		1		0		1		0		
21		JPS		4331		8.48528		8.4858		1		0		1		0		
21		EDG*		13		8.48528		8.48528		1		0		1		0		


22		A*		58015		9		9		1		0		1		0		
22		Dijkstra		60175		9		9		1		0		1		0		
22		JPS		5904		9		9		1		0		1		0		
22		EDG*		14		9		9		1		0		1		0		


23		A*		58035		11.2426		11.2429		1		0		1		0		
23		Dijkstra		62443		11.2426		11.2429		1		0		1		0		
23		JPS		12081		11.2426		11.2429		1		0		1		0		
23		EDG*		15		11.2426		10.4403		1		0		1		0		


24		A*		58259		10.2426		10.2429		1		0		1		0		
24		Dijkstra		61177		10.2426		10.2429		1		0		1		0		
24		JPS		17072		10.2426		10.2429		1		0		1		0		
24		EDG*		15		10.2426		9.48683		1		0		1		0		


25		A*		60408		8		8		1		0		1		0		
25		Dijkstra		59777		8		8		1		0		1		0		
25		JPS		7456		8		8		1		0		1		0		
25		EDG*		14		8		8		1		0		1		0		


26		A*		59255		10.6569		10.6572		1		0		1		0		
26		Dijkstra		61247		10.6569		10.6572		1		0		1		0		
26		JPS		5330		10.6569		10.6572		1		0		1		0		
26		EDG*		14		10.6569		9.84886		1		0		1		0		


27		A*		59608		11.8995		11.9001		1		0		1		0		
27		Dijkstra		62559		11.8995		11.9001		1		0		1		0		
27		JPS		10698		11.8995		11.9001		1		0		1		0		
27		EDG*		14		11.8995		11.4018		1		0		1		0		


28		A*		58027		8.07107		8.0715		1		0		1		0		
28		Dijkstra		60195		8.07107		8.0715		1		0		1		0		
28		JPS		5705		8.07107		8.0715		1		0		1		0		
28		EDG*		12		8.07107		7.81025		1		0		1		0		


29		A*		58055		11		11		1		0		1		0		
29		Dijkstra		61179		11		11		1		0		1		0		
29		JPS		4973		11		11		1		0		1		0		
29		EDG*		15		11		11		1		0		1		0		


30		A*		58138		10		10		1		0		1		0		
30		Dijkstra		60907		10		10		1		0		1		0		
30		JPS		5328		10		10		1		0		1		0		
30		EDG*		14		10		10		1		0		1		0		


31		A*		58707		14.0711		14.0715		1		0		1		0		
31		Dijkstra		62678		14.0711		14.0715		1		0		1		0		
31		JPS		4341		14.0711		14.0715		1		0		1		0		
31		EDG*		16		14.0711		13		1		0		1		0		


32		A*		59774		14.2426		14.2429		1		0		1		0		
32		Dijkstra		63996		14.2426		14.2429		1		0		1		0		
32		JPS		3974		14.2426		14.2429		1		0		1		0		
32		EDG*		16		14.2426		13.3417		1		0		1		0		


33		A*		60248		13.8284		13.8286		1		0		1		0		
33		Dijkstra		64200		13.8284		13.8286		1		0		1		0		
33		JPS		14908		13.8284		13.8286		1		0		1		0		
33		EDG*		15		13.8284		13.1529		1		0		1		0		


34		A*		58384		13.6569		13.6572		1		0		1		0		
34		Dijkstra		63668		13.6569		13.6572		1		0		1		0		
34		JPS		5790		13.6569		13.6572		1		0		1		0		
34		EDG*		16		13.6569		12.6491		1		0		1		0		


35		A*		58234		14.8284		14.8286		1		0		1		0		
35		Dijkstra		64481		14.8284		14.8286		1		0		1		0		
35		JPS		5415		14.8284		14.8286		1		0		1		0		
35		EDG*		16		14.8284		14.1421		1		0		1		0		


36		A*		59074		12.8995		12.9001		1		0		1		0		
36		Dijkstra		63065		12.8995		12.9001		1		0		1		0		
36		JPS		2456		12.8995		12.9001		1		0		1		0		
36		EDG*		16		12.8995		12.2066		1		0		1		0		


37		A*		58018		14.8995		14.9001		1		0		1		0		
37		Dijkstra		64525		14.8995		14.9001		1		0		1		0		
37		JPS		11203		14.8995		14.9001		1		0		1		0		
37		EDG*		16		14.8995		13.8924		1		0		1		0		


38		A*		58592		14.0711		14.0715		1		0		1		0		
38		Dijkstra		64023		14.0711		14.0715		1		0		1		0		
38		JPS		6814		14.0711		14.0715		1		0		1		0		
38		EDG*		16		14.0711		13		1		0		1		0		


39		A*		58168		14.1421		14.143		1		0		1		0		
39		Dijkstra		63958		14.1421		14.143		1		0		1		0		
39		JPS		5132		14.1421		14.143		1		0		1		0		
39		EDG*		16		14.1421		14.1421		1		0		1		0		


40		A*		60222		14.7279		14.7287		1		0		1		0		
40		Dijkstra		64538		14.7279		14.7287		1		0		1		0		
40		JPS		14592		14.7279		14.7287		1		0		1		0		
40		EDG*		15		14.7279		14.2127		1		0		1		0		


41		A*		58721		18.4142		18.4143		1		0		1		0		
41		Dijkstra		68353		18.4142		18.4143		1		0		1		0		
41		JPS		6103		18.4142		18.4143		1		0		1		0		
41		EDG*		18		18.4142		18.0278		1		0		1		0		


42		A*		58576		18.6569		18.6572		1		0		1		0		
42		Dijkstra		69038		18.6569		18.6572		1		0		1		0		
42		JPS		25262		18.6569		18.6572		1		0		1		0		
42		EDG*		17		18.6569		17.4642		1		0		1		0		


43		A*		58617		16.2426		16.2429		1		0		1		0		
43		Dijkstra		66493		16.2426		16.2429		1		0		1		0		
43		JPS		30690		16.2426		16.2429		1		0		1		0		
43		EDG*		18		16.2426		15.2971		1		0		1		0		


44		A*		58136		19.799		19.8002		1		0		1		0		
44		Dijkstra		69760		19.799		19.8002		1		0		1		0		
44		JPS		12127		19.799		19.8002		1		0		1		0		
44		EDG*		16		19.799		19.799		1		0		1		0		


45		A*		58184		18.2426		18.2429		1		0		1		0		
45		Dijkstra		68263		18.2426		18.2429		1		0		1		0		
45		JPS		7893		18.2426		18.2429		1		0		1		0		
45		EDG*		17		18.2426		17.2627		1		0		1		0		


46		A*		58140		16.8284		16.8286		1		0		1		0		
46		Dijkstra		66416		16.8284		16.8286		1		0		1		0		
46		JPS		3931		16.8284		16.8286		1		0		1		0		
46		EDG*		17		16.8284		16.1245		1		0		1		0		


47		A*		58136		17.5563		17.5573		1		0		1		0		
47		Dijkstra		67317		17.5563		17.5573		1		0		1		0		
47		JPS		7927		17.5563		17.5573		1		0		1		0		
47		EDG*		17		17.5563		17.0294		1		0		1		0		


48		A*		58914		17.2426		17.2429		1		0		1		0		
48		Dijkstra		68871		17.2426		17.2429		1		0		1		0		
48		JPS		13645		17.2426		17.2429		1		0		1		0		
48		EDG*		16		17.2426		16.2788		1		0		1		0		


49		A*		58230		18.3137		18.3144		1		0		1		0		
49		Dijkstra		68126		18.3137		18.3144		1		0		1		0		
49		JPS		10229		18.3137		18.3144		1		0		1		0		
49		EDG*		18		18.3137		17		1		0		1		0		


50		A*		58108		19.7279		19.7287		1		0		1		0		
50		Dijkstra		70488		19.7279		19.7287		1		0		1		0		
50		JPS		37597		19.7279		19.7287		1		0		1		0		
50		EDG*		18		19.7279		18.3576		1		0		1		0		


51		A*		58256		23.2426		23.2429		1		0		1		0		
51		Dijkstra		74297		23.2426		23.2429		1		0		1		0		
51		JPS		24601		23.2426		23.2429		1		0		1		0		
51		EDG*		20		23.2426		22.2036		1		0		1		0		


52		A*		58231		20.5563		20.5573		1		0		1		0		
52		Dijkstra		71726		20.5563		20.5573		1		0		1		0		
52		JPS		13342		20.5563		20.5573		1		0		1		0		
52		EDG*		17		20.5563		19.4165		1		0		1		0		


53		A*		58203		23.3137		23.3144		1		0		1		0		
53		Dijkstra		68267		23.3137		23.3144		1		0		1		0		
53		JPS		3555		23.3137		23.3144		1		0		1		0		
53		EDG*		19		23.3137		21.5407		1		0		1		0		


54		A*		58731		20.3848		20.3859		1		0		1		0		
54		Dijkstra		70425		20.3848		20.3859		1		0		1		0		
54		JPS		25187		20.3848		20.3859		1		0		1		0		
54		EDG*		18		20.3848		19.8494		1		0		1		0		


55		A*		59309		20.1421		20.143		1		0		1		0		
55		Dijkstra		70320		20.1421		20.143		1		0		1		0		
55		JPS		24201		20.1421		20.143		1		0		1		0		
55		EDG*		18		20.1421		18.868		1		0		1		0		


56		A*		59026		22.2426		22.2429		1		0		1		0		
56		Dijkstra		70153		22.2426		22.2429		1		0		1		0		
56		JPS		15609		22.2426		22.2429		1		0		1		0		
56		EDG*		18		22.2426		21.2132		1		0		1		0		


57		A*		58186		23.2132		23.2145		1		0		1		0		
57		Dijkstra		74321		23.2132		23.2145		1		0		1		0		
57		JPS		11372		23.2132		23.2145		1		0		1		0		
57		EDG*		19		23.2132		22.6716		1		0		1		0		


58		A*		58055		21.1421		21.143		1		0		1		0		
