地图名称：Boston_1_1024.map
算例总数：3720


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		60628		1		1		1		0		1		0		
1		Dijkstra		60880		1		1		1		0		1		0		
1		JPS		2560		1		1		1		0		1		0		
1		EDG*		10		1		1		1		0		1		96089		


2		A*		59345		3.82843		3.8286		1		0		1		0		
2		Dijkstra		59386		3.82843		3.8286		1		0		1		0		
2		JPS		9350		3.82843		3.8286		1		0		1		0		
2		EDG*		12		3.82843		3.60555		1		0		1		0		


3		A*		60375		2.82843		2.8286		1		0		1		0		
3		Dijkstra		60618		2.82843		2.8286		1		0		1		0		
3		JPS		4328		2.82843		2.8286		1		0		1		0		
3		EDG*		11		2.82843		2.82843		1		0		1		0		


4		A*		61491		2.41421		2.4143		1		0		1		0		
4		Dijkstra		63184		2.41421		2.4143		1		0		1		0		
4		JPS		7580		2.41421		2.4143		1		0		1		0		
4		EDG*		10		2.41421		2.23607		1		0		1		0		


5		A*		61390		1		1		1		0		1		0		
5		Dijkstra		61375		1		1		1		0		1		0		
5		JPS		4916		1		1		1		0		1		0		
5		EDG*		8		1		1		1		0		1		0		


6		A*		61693		0		0		1		0		0		0		
6		Dijkstra		60669		0		0		1		0		0		0		
6		JPS		10		0		0		1		0		0		0		
6		EDG*		4		0		0		1		0		1		0		


7		A*		58976		2.41421		2.4143		1		0		1		0		
7		Dijkstra		59173		2.41421		2.4143		1		0		1		0		
7		JPS		299		2.41421		2.4143		1		0		1		0		
7		EDG*		12		2.41421		2.23607		1		0		1		0		


8		A*		60385		1		1		1		0		1		0		
8		Dijkstra		60580		1		1		1		0		1		0		
8		JPS		1272		1		1		1		0		1		0		
8		EDG*		9		1		1		1		0		1		0		


9		A*		60430		3.41421		3.4143		1		0		1		0		
9		Dijkstra		60810		3.41421		3.4143		1		0		1		0		
9		JPS		2003		3.41421		3.4143		1		0		1		0		
9		EDG*		16		3.41421		3.16228		1		0		1		0		


10		A*		59242		2.41421		2.4143		1		0		1		0		
10		Dijkstra		59075		2.41421		2.4143		1		0		1		0		
10		JPS		2515		2.41421		2.4143		1		0		1		0		
10		EDG*		18		2.41421		2.23607		1		0		1		0		


11		A*		59669		6.82843		6.8286		1		0		1		0		
11		Dijkstra		60626		6.82843		6.8286		1		0		1		0		
11		JPS		2111		6.82843		6.8286		1		0		1		0		
11		EDG*		18		6.82843		6.32456		1		0		1		0		


12		A*		60209		4.24264		4.2429		1		0		1		0		
12		Dijkstra		60977		4.24264		4.2429		1		0		1		0		
12		JPS		1128		4.24264		4.2429		1		0		1		0		
12		EDG*		14		4.24264		4.24264		1		0		1		0		


13		A*		59997		6.65685		6.6572		1		0		1		0		
13		Dijkstra		60854		6.65685		6.6572		1		0		1		0		
13		JPS		4003		6.65685		6.6572		1		0		1		0		
13		EDG*		18		6.65685		6.40312		1		0		1		0		


14		A*		59382		6.41421		6.4143		1		0		1		0		
14		Dijkstra		61813		6.41421		6.4143		1		0		1		0		
14		JPS		748		6.41421		6.4143		1		0		1		0		
14		EDG*		16		6.41421		6.08276		1		0		1		0		


15		A*		58941		6.65685		6.6572		1		0		1		0		
15		Dijkstra		59832		6.65685		6.6572		1		0		1		0		
15		JPS		693		6.65685		6.6572		1		0		1		0		
15		EDG*		15		6.65685		6.40312		1		0		1		0		


16		A*		58979		6.65685		6.6572		1		0		1		0		
16		Dijkstra		60525		6.65685		6.6572		1		0		1		0		
16		JPS		3427		6.65685		6.6572		1		0		1		0		
16		EDG*		18		6.65685		6.40312		1		0		1		0		


17		A*		59032		6		6		1		0		1		0		
17		Dijkstra		60261		6		6		1		0		1		0		
17		JPS		999		6		6		1		0		1		0		
17		EDG*		16		6		6		1		0		1		0		


18		A*		59422		7.41421		7.4143		1		0		1		0		
18		Dijkstra		60836		7.41421		7.4143		1		0		1		0		
18		JPS		7835		7.41421		7.4143		1		0		1		0		
18		EDG*		16		7.41421		7.07107		1		0		1		0		


19		A*		61518		4.82843		4.8286		1		0		1		0		
19		Dijkstra		59786		4.82843		4.8286		1		0		1		0		
19		JPS		4519		4.82843		4.8286		1		0		1		0		
19		EDG*		13		4.82843		4.47214		1		0		1		0		


20		A*		59131		4.41421		4.4143		1		0		1		0		
20		Dijkstra		59569		4.41421		4.4143		1		0		1		0		
20		JPS		2623		4.41421		4.4143		1		0		1		0		
20		EDG*		16		4.41421		4.12311		1		0		1		0		


21		A*		60605		10.6569		10.6572		1		0		1		0		
21		Dijkstra		64236		10.6569		10.6572		1		0		1		0		
21		JPS		8974		10.6569		10.6572		1		0		1		0		
21		EDG*		17		10.6569		9.84886		1		0		1		0		


22		A*		59012		10.8284		10.8286		1		0		1		0		
22		Dijkstra		62706		10.8284		10.8286		1		0		1		0		
22		JPS		5650		10.8284		10.8286		1		0		1		0		
22		EDG*		20		10.8284		10.198		1		0		1		0		


23		A*		60751		10.8284		10.8286		1		0		1		0		
23		Dijkstra		64326		10.8284		10.8286		1		0		1		0		
23		JPS		5677		10.8284		10.8286		1		0		1		0		
23		EDG*		21		10.8284		10.198		1		0		1		0		


24		A*		59092		9.07107		9.0715		1		0		1		0		
24		Dijkstra		61810		9.07107		9.0715		1		0		1		0		
24		JPS		4741		9.07107		9.0715		1		0		1		0		
24		EDG*		17		9.07107		8.60233		1		0		1		0		


25		A*		59109		9.82843		9.8286		1		0		1		0		
25		Dijkstra		64216		9.82843		9.8286		1		0		1		0		
25		JPS		1374		9.82843		9.8286		1		0		1		0		
25		EDG*		19		9.82843		9.21954		1		0		1		0		


26		A*		60587		11.4853		11.4858		1		0		1		0		
26		Dijkstra		64980		11.4853		11.4858		1		0		1		0		
26		JPS		1795		11.4853		11.4858		1		0		1		0		
26		EDG*		20		11.4853		10.8167		1		0		1		0		


27		A*		60834		10.4853		10.4858		1		0		1		0		
27		Dijkstra		64254		10.4853		10.4858		1		0		1		0		
27		JPS		4608		10.4853		10.4858		1		0		1		0		
27		EDG*		18		10.4853		10		1		0		1		0		


28		A*		59139		9.07107		9.0715		1		0		1		0		
28		Dijkstra		61906		9.07107		9.0715		1		0		1		0		
28		JPS		2835		9.07107		9.0715		1		0		1		0		
28		EDG*		17		9.07107		8.60233		1		0		1		0		


29		A*		59009		10.8284		10.8286		1		0		1		0		
29		Dijkstra		61223		10.8284		10.8286		1		0		1		0		
29		JPS		940		10.8284		10.8286		1		0		1		0		
29		EDG*		19		10.8284		10.198		1		0		1		0		


30		A*		59267		9		9		1		0		1		0		
30		Dijkstra		61718		9		9		1		0		1		0		
30		JPS		2072		9		9		1		0		1		0		
30		EDG*		19		9		9		1		0		1		0		


31		A*		59126		14.2426		14.2429		1		0		1		0		
31		Dijkstra		65386		14.2426		14.2429		1		0		1		0		
31		JPS		2193		14.2426		14.2429		1		0		1		0		
31		EDG*		21		14.2426		13.3417		1		0		1		0		


32		A*		59448		15.3137		15.3144		1		0		1		0		
32		Dijkstra		66350		15.3137		15.3144		1		0		1		0		
32		JPS		6612		15.3137		15.3144		1		0		1		0		
32		EDG*		20		15.3137		14.4222		1		0		1		0		


33		A*		59086		12.0711		12.0715		1		0		1		0		
33		Dijkstra		63670		12.0711		12.0715		1		0		1		0		
33		JPS		3111		12.0711		12.0715		1		0		1		0		
33		EDG*		21		12.0711		11.1803		1		0		1		0		


34		A*		59108		13.8284		13.8286		1		0		1		0		
34		Dijkstra		62542		13.8284		13.8286		1		0		1		0		
34		JPS		481		13.8284		13.8286		1		0		1		0		
34		EDG*		20		13.8284		13.1529		1		0		1		0		


35		A*		59086		15.3137		15.3144		1		0		1		0		
35		Dijkstra		66413		15.3137		15.3144		1		0		1		0		
35		JPS		8036		15.3137		15.3144		1		0		1		0		
35		EDG*		24		15.3137		14.4222		1		0		1		0		


36		A*		59089		13.7279		13.7287		1		0		1		0		
36		Dijkstra		64978		13.7279		13.7287		1		0		1		0		
36		JPS		6758		13.7279		13.7287		1		0		1		0		
36		EDG*		21		13.7279		13.4536		1		0		1		0		


37		A*		59232		12.6569		12.6572		1		0		1		0		
37		Dijkstra		64291		12.6569		12.6572		1		0		1		0		
37		JPS		4073		12.6569		12.6572		1		0		1		0		
37		EDG*		19		12.6569		11.7047		1		0		1		0		


38		A*		59085		14.3137		14.3144		1		0		1		0		
38		Dijkstra		65534		14.3137		14.3144		1		0		1		0		
38		JPS		7656		14.3137		14.3144		1		0		1		0		
38		EDG*		20		14.3137		13.6015		1		0		1		0		


39		A*		59285		14.2426		14.2429		1		0		1		0		
39		Dijkstra		65374		14.2426		14.2429		1		0		1		0		
39		JPS		2880		14.2426		14.2429		1		0		1		0		
39		EDG*		21		14.2426		13.3417		1		0		1		0		


40		A*		59023		14.0711		14.0715		1		0		1		0		
40		Dijkstra		64819		14.0711		14.0715		1		0		1		0		
40		JPS		4298		14.0711		14.0715		1		0		1		0		
40		EDG*		19		14.0711		13		1		0		1		0		


41		A*		59167		18.6569		18.6572		1		0		1		0		
41		Dijkstra		69432		18.6569		18.6572		1		0		1		0		
41		JPS		1434		18.6569		18.6572		1		0		1		0		
41		EDG*		22		18.6569		17.4642		1		0		1		0		


42		A*		59211		16.2426		16.2429		1		0		1		0		
42		Dijkstra		67576		16.2426		16.2429		1		0		1		0		
42		JPS		7528		16.2426		16.2429		1		0		1		0		
42		EDG*		24		16.2426		15.2971		1		0		1		0		


43		A*		59027		19.6569		19.6572		1		0		1		0		
43		Dijkstra		72468		19.6569		19.6572		1		0		1		0		
43		JPS		3661		19.6569		19.6572		1		0		1		0		
43		EDG*		21		19.6569		18.4391		1		0		1		0		


44		A*		59126		19.8995		19.9001		1		0		1		0		
44		Dijkstra		71527		19.8995		19.9001		1		0		1		0		
44		JPS		9456		19.8995		19.9001		1		0		1		0		
44		EDG*		21		19.8995		18.3848		1		0		1		0		


45		A*		61485		19.8284		19.8286		1		0		1		0		
45		Dijkstra		71625		19.8284		19.8286		1		0		1		0		
45		JPS		1780		19.8284		19.8286		1		0		1		0		
45		EDG*		24		19.8284		19.105		1		0		1		0		


46		A*		60578		17.4853		17.4858		1		0		1		0		
46		Dijkstra		70453		17.4853		17.4858		1		0		1		0		
46		JPS		5630		17.4853		17.4858		1		0		1		0		
46		EDG*		23		17.4853		16.1555		1		0		1		0		


47		A*		59120		19.1421		19.143		1		0		1		0		
47		Dijkstra		70880		19.1421		19.143		1		0		1		0		
47		JPS		1351		19.1421		19.143		1		0		1		0		
47		EDG*		21		19.1421		18.0278		1		0		1		0		


48		A*		59062		19.6569		19.6572		1		0		1		0		
48		Dijkstra		73230		19.6569		19.6572		1		0		1		0		
48		JPS		6652		19.6569		19.6572		1		0		1		0		
48		EDG*		22		19.6569		18.4391		1		0		1		0		


49		A*		59093		19.7279		19.7287		1		0		1		0		
49		Dijkstra		71319		19.7279		19.7287		1		0		1		0		
49		JPS		6205		19.7279		19.7287		1		0		1		0		
49		EDG*		29		19.7279		18.3576		1		0		1		0		


50		A*		59513		18.8995		18.9001		1		0		1		0		
50		Dijkstra		70018		18.8995		18.9001		1		0		1		0		
50		JPS		5584		18.8995		18.9001		1		0		1		0		
50		EDG*		22		18.8995		17.4642		1		0		1		0		


51		A*		60570		20.1421		20.143		1		0		1		0		
51		Dijkstra		73935		20.1421		20.143		1		0		1		0		
51		JPS		7912		20.1421		20.143		1		0		1		0		
51		EDG*		24		20.1421		18.868		1		0		1		0		


52		A*		59457		22.6569		22.6572		1		0		1		0		
52		Dijkstra		75297		22.6569		22.6572		1		0		1		0		
52		JPS		3308		22.6569		22.6572		1		0		1		0		
52		EDG*		24		22.6569		21.3776		1		0		1		0		


53		A*		61331		22.1421		22.143		1		0		1		0		
53		Dijkstra		69405		22.1421		22.143		1		0		1		0		
53		JPS		481		22.1421		22.143		1		0		1		0		
53		EDG*		24		22.1421		20.5913		1		0		1		0		


54		A*		59303		21.6569		21.6572		1		0		1		0		
54		Dijkstra		68438		21.6569		21.6572		1		0		1		0		
54		JPS		740		21.6569		21.6572		1		0		1		0		
54		EDG*		24		21.6569		20.3961		1		0		1		0		


55		A*		59250		22.4142		22.4143		1		0		1		0		
55		Dijkstra		75050		22.4142		22.4143		1		0		1		0		
55		JPS		3195		22.4142		22.4143		1		0		1		0		
55		EDG*		27		22.4142		22.0227		1		0		1		0		


56		A*		59361		23.4142		23.4143		1		0		1		0		
56		Dijkstra		67009		23.4142		23.4143		1		0		1		0		
56		JPS		2420		23.4142		23.4143		1		0		1		0		
56		EDG*		25		23.4142		23.0217		1		0		1		0		


57		A*		59121		20.799		20.8002		1		0		1		0		
57		Dijkstra		70025		20.799		20.8002		1		0		1		0		
57		JPS		3002		20.799		20.8002		1		0		1		0		
57		EDG*		21		20.799		20.5183		1		0		1		0		


58		A*		61449		21.6569		21.6572		1		0		1		0		
