地图名称：Moscow_0_1024.map
算例总数：3630


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		60055		3.82843		3.8286		1		0		1		0		
1		Dijkstra		60438		3.82843		3.8286		1		0		1		0		
1		JPS		2501		3.82843		3.8286		1		0		1		0		
1		EDG*		10		3.82843		3.60555		1		0		1		122544		


2		A*		60252		3.41421		3.4143		1		0		1		0		
2		Dijkstra		60701		3.41421		3.4143		1		0		1		0		
2		JPS		613		3.41421		3.4143		1		0		1		0		
2		EDG*		11		3.41421		3.16228		1		0		1		0		


3		A*		58843		3		3		1		0		1		0		
3		Dijkstra		60170		3		3		1		0		1		0		
3		JPS		5572		3		3		1		0		1		0		
3		EDG*		11		3		3		1		0		1		0		


4		A*		64223		2.82843		2.8286		1		0		1		0		
4		Dijkstra		61272		2.82843		2.8286		1		0		1		0		
4		JPS		2055		2.82843		2.8286		1		0		1		0		
4		EDG*		9		2.82843		2.82843		1		0		1		0		


5		A*		60938		0		0		1		0		0		0		
5		Dijkstra		60914		0		0		1		0		0		0		
5		JPS		8		0		0		1		0		0		0		
5		EDG*		3		0		0		1		0		1		0		


6		A*		61193		2.41421		2.4143		1		0		1		0		
6		Dijkstra		59947		2.41421		2.4143		1		0		1		0		
6		JPS		2349		2.41421		2.4143		1		0		1		0		
6		EDG*		10		2.41421		2.23607		1		0		1		0		


7		A*		58634		1		1		1		0		1		0		
7		Dijkstra		58665		1		1		1		0		1		0		
7		JPS		1454		1		1		1		0		1		0		
7		EDG*		8		1		1		1		0		1		0		


8		A*		60526		2.82843		2.8286		1		0		1		0		
8		Dijkstra		60386		2.82843		2.8286		1		0		1		0		
8		JPS		5956		2.82843		2.8286		1		0		1		0		
8		EDG*		9		2.82843		2.82843		1		0		1		0		


9		A*		59710		1.41421		1.4143		1		0		1		0		
9		Dijkstra		58606		1.41421		1.4143		1		0		1		0		
9		JPS		3515		1.41421		1.4143		1		0		1		0		
9		EDG*		8		1.41421		1.41421		1		0		1		0		


10		A*		61019		2.41421		2.4143		1		0		1		0		
10		Dijkstra		60219		2.41421		2.4143		1		0		1		0		
10		JPS		3272		2.41421		2.4143		1		0		1		0		
10		EDG*		9		2.41421		2.23607		1		0		1		0		


11		A*		60560		7		7		1		0		1		0		
11		Dijkstra		61442		7		7		1		0		1		0		
11		JPS		1290		7		7		1		0		1		0		
11		EDG*		15		7		7		1		0		1		0		


12		A*		61346		6.41421		6.4143		1		0		1		0		
12		Dijkstra		59981		6.41421		6.4143		1		0		1		0		
12		JPS		1053		6.41421		6.4143		1		0		1		0		
12		EDG*		13		6.41421		6.08276		1		0		1		0		


13		A*		60672		6.41421		6.4143		1		0		1		0		
13		Dijkstra		59176		6.41421		6.4143		1		0		1		0		
13		JPS		706		6.41421		6.4143		1		0		1		0		
13		EDG*		13		6.41421		6.08276		1		0		1		0		


14		A*		59231		5		5		1		0		1		0		
14		Dijkstra		59296		5		5		1		0		1		0		
14		JPS		3225		5		5		1		0		1		0		
14		EDG*		13		5		5		1		0		1		0		


15		A*		61077		7.82843		7.8286		1		0		1		0		
15		Dijkstra		62036		7.82843		7.8286		1		0		1		0		
15		JPS		1931		7.82843		7.8286		1		0		1		0		
15		EDG*		14		7.82843		7.28011		1		0		1		0		


16		A*		60133		7.41421		7.4143		1		0		1		0		
16		Dijkstra		61295		7.41421		7.4143		1		0		1		0		
16		JPS		5175		7.41421		7.4143		1		0		1		0		
16		EDG*		14		7.41421		7.07107		1		0		1		0		


17		A*		59526		7.82843		7.8286		1		0		1		0		
17		Dijkstra		60648		7.82843		7.8286		1		0		1		0		
17		JPS		2220		7.82843		7.8286		1		0		1		0		
17		EDG*		14		7.82843		7.28011		1		0		1		0		


18		A*		60980		6.65685		6.6572		1		0		1		0		
18		Dijkstra		59998		6.65685		6.6572		1		0		1		0		
18		JPS		1125		6.65685		6.6572		1		0		1		0		
18		EDG*		13		6.65685		6.40312		1		0		1		0		


19		A*		60091		5.24264		5.2429		1		0		1		0		
19		Dijkstra		59374		5.24264		5.2429		1		0		1		0		
19		JPS		2951		5.24264		5.2429		1		0		1		0		
19		EDG*		14		5.24264		5		1		0		1		0		


20		A*		60160		6.82843		6.8286		1		0		1		0		
20		Dijkstra		62518		6.82843		6.8286		1		0		1		0		
20		JPS		898		6.82843		6.8286		1		0		1		0		
20		EDG*		13		6.82843		6.32456		1		0		1		0		


21		A*		59817		11.6569		11.6572		1		0		1		0		
21		Dijkstra		64164		11.6569		11.6572		1		0		1		0		
21		JPS		2930		11.6569		11.6572		1		0		1		0		
21		EDG*		16		11.6569		10.7703		1		0		1		0		


22		A*		60340		8.65685		8.6572		1		0		1		0		
22		Dijkstra		61854		8.65685		8.6572		1		0		1		0		
22		JPS		790		8.65685		8.6572		1		0		1		0		
22		EDG*		14		8.65685		8.06226		1		0		1		0		


23		A*		61134		9.07107		9.0715		1		0		1		0		
23		Dijkstra		60596		9.07107		9.0715		1		0		1		0		
23		JPS		449		9.07107		9.0715		1		0		1		0		
23		EDG*		15		9.07107		8.60233		1		0		1		0		


24		A*		60506		9.07107		9.0715		1		0		1		0		
24		Dijkstra		61670		9.07107		9.0715		1		0		1		0		
24		JPS		2668		9.07107		9.0715		1		0		1		0		
24		EDG*		14		9.07107		8.60233		1		0		1		0		


25		A*		59594		9.24264		9.2429		1		0		1		0		
25		Dijkstra		61332		9.24264		9.2429		1		0		1		0		
25		JPS		4059		9.24264		9.2429		1		0		1		0		
25		EDG*		15		9.24264		8.544		1		0		1		0		


26		A*		60784		8.07107		8.0715		1		0		1		0		
26		Dijkstra		62217		8.07107		8.0715		1		0		1		0		
26		JPS		5941		8.07107		8.0715		1		0		1		0		
26		EDG*		13		8.07107		7.81025		1		0		1		0		


27		A*		60037		8.82843		8.8286		1		0		1		0		
27		Dijkstra		63167		8.82843		8.8286		1		0		1		0		
27		JPS		6774		8.82843		8.8286		1		0		1		0		
27		EDG*		15		8.82843		8.24621		1		0		1		0		


28		A*		60308		9		9		1		0		1		0		
28		Dijkstra		62435		9		9		1		0		1		0		
28		JPS		2281		9		9		1		0		1		0		
28		EDG*		15		9		9		1		0		1		0		


29		A*		60573		8.07107		8.0715		1		0		1		0		
29		Dijkstra		62047		8.07107		8.0715		1		0		1		0		
29		JPS		1096		8.07107		8.0715		1		0		1		0		
29		EDG*		13		8.07107		7.81025		1		0		1		0		


30		A*		61134		10.8284		10.8286		1		0		1		0		
30		Dijkstra		64481		10.8284		10.8286		1		0		1		0		
30		JPS		2147		10.8284		10.8286		1		0		1		0		
30		EDG*		71		10.8284		10.198		1		0		1		0		


31		A*		60685		13.3137		13.3144		1		0		1		0		
31		Dijkstra		65506		13.3137		13.3144		1		0		1		0		
31		JPS		3363		13.3137		13.3144		1		0		1		0		
31		EDG*		16		13.3137		12.8062		1		0		1		0		


32		A*		61979		14.4142		14.4143		1		0		1		0		
32		Dijkstra		66700		14.4142		14.4143		1		0		1		0		
32		JPS		1222		14.4142		14.4143		1		0		1		0		
32		EDG*		18		14.4142		14.0357		1		0		1		0		


33		A*		59595		15.3137		15.3144		1		0		1		0		
33		Dijkstra		66010		15.3137		15.3144		1		0		1		0		
33		JPS		7756		15.3137		15.3144		1		0		1		0		
33		EDG*		17		15.3137		14.4222		1		0		1		0		


34		A*		60643		12.8995		12.9001		1		0		1		0		
34		Dijkstra		65486		12.8995		12.9001		1		0		1		0		
34		JPS		6270		12.8995		12.9001		1		0		1		0		
34		EDG*		20		12.8995		12.2066		1		0		1		0		


35		A*		60154		14.7279		14.7287		1		0		1		0		
35		Dijkstra		66892		14.7279		14.7287		1		0		1		0		
35		JPS		2901		14.7279		14.7287		1		0		1		0		
35		EDG*		16		14.7279		14.2127		1		0		1		0		


36		A*		59299		15.2426		15.2429		1		0		1		0		
36		Dijkstra		66104		15.2426		15.2429		1		0		1		0		
36		JPS		3900		15.2426		15.2429		1		0		1		0		
36		EDG*		17		15.2426		14.3178		1		0		1		0		


37		A*		60716		14.1421		14.143		1		0		1		0		
37		Dijkstra		64785		14.1421		14.143		1		0		1		0		
37		JPS		1376		14.1421		14.143		1		0		1		0		
37		EDG*		16		14.1421		14.1421		1		0		1		0		


38		A*		60278		14.3137		14.3144		1		0		1		0		
38		Dijkstra		66701		14.3137		14.3144		1		0		1		0		
38		JPS		7822		14.3137		14.3144		1		0		1		0		
38		EDG*		16		14.3137		13.6015		1		0		1		0		


39		A*		65972		12.8284		12.8286		1		0		1		0		
39		Dijkstra		63630		12.8284		12.8286		1		0		1		0		
39		JPS		5061		12.8284		12.8286		1		0		1		0		
39		EDG*		16		12.8284		12.1655		1		0		1		0		


40		A*		60430		15.4853		15.4858		1		0		1		0		
40		Dijkstra		67737		15.4853		15.4858		1		0		1		0		
40		JPS		1809		15.4853		15.4858		1		0		1		0		
40		EDG*		16		15.4853		14.3178		1		0		1		0		


41		A*		60747		19.0711		19.0715		1		0		1		0		
41		Dijkstra		72047		19.0711		19.0715		1		0		1		0		
41		JPS		4942		19.0711		19.0715		1		0		1		0		
41		EDG*		19		19.0711		17.72		1		0		1		0		


42		A*		60646		19.6569		19.6572		1		0		1		0		
42		Dijkstra		70453		19.6569		19.6572		1		0		1		0		
42		JPS		2075		19.6569		19.6572		1		0		1		0		
42		EDG*		19		19.6569		18.4391		1		0		1		0		


43		A*		59589		17.2426		17.2429		1		0		1		0		
43		Dijkstra		91919		17.2426		17.2429		1		0		1		0		
43		JPS		327		17.2426		17.2429		1		0		1		0		
43		EDG*		19		17.2426		16.2788		1		0		1		0		


44		A*		60608		18.4142		18.4143		1		0		1		0		
44		Dijkstra		66736		18.4142		18.4143		1		0		1		0		
44		JPS		1292		18.4142		18.4143		1		0		1		0		
44		EDG*		18		18.4142		18.0278		1		0		1		0		


45		A*		60585		19.7279		19.7287		1		0		1		0		
45		Dijkstra		72104		19.7279		19.7287		1		0		1		0		
45		JPS		4222		19.7279		19.7287		1		0		1		0		
45		EDG*		19		19.7279		18.3576		1		0		1		0		


46		A*		59879		19.3137		19.3144		1		0		1		0		
46		Dijkstra		71514		19.3137		19.3144		1		0		1		0		
46		JPS		4122		19.3137		19.3144		1		0		1		0		
46		EDG*		18		19.3137		17.8885		1		0		1		0		


47		A*		60692		16.9706		16.9716		1		0		1		0		
47		Dijkstra		68891		16.9706		16.9716		1		0		1		0		
47		JPS		1128		16.9706		16.9716		1		0		1		0		
47		EDG*		18		16.9706		16.9706		1		0		1		0		


48		A*		60989		17.4142		17.4143		1		0		1		0		
48		Dijkstra		69539		17.4142		17.4143		1		0		1		0		
48		JPS		2615		17.4142		17.4143		1		0		1		0		
48		EDG*		19		17.4142		17.0294		1		0		1		0		


49		A*		60425		18.9706		18.9716		1		0		1		0		
49		Dijkstra		71452		18.9706		18.9716		1		0		1		0		
49		JPS		1820		18.9706		18.9716		1		0		1		0		
49		EDG*		18		18.9706		18.4391		1		0		1		0		


50		A*		60867		18.3137		18.3144		1		0		1		0		
50		Dijkstra		70084		18.3137		18.3144		1		0		1		0		
50		JPS		6747		18.3137		18.3144		1		0		1		0		
50		EDG*		18		18.3137		17		1		0		1		0		


51		A*		60811		23.4853		23.4858		1		0		1		0		
51		Dijkstra		76810		23.4853		23.4858		1		0		1		0		
51		JPS		2509		23.4853		23.4858		1		0		1		0		
51		EDG*		21		23.4853		21.8403		1		0		1		0		


52		A*		59573		21		21		1		0		1		0		
52		Dijkstra		67040		21		21		1		0		1		0		
52		JPS		918		21		21		1		0		1		0		
52		EDG*		19		21		21		1		0		1		0		


53		A*		59328		21.4142		21.4143		1		0		1		0		
53		Dijkstra		72274		21.4142		21.4143		1		0		1		0		
53		JPS		4116		21.4142		21.4143		1		0		1		0		
53		EDG*		23		21.4142		21.0238		1		0		1		0		


54		A*		59860		23.9706		23.9716		1		0		1		0		
54		Dijkstra		76157		23.9706		23.9716		1		0		1		0		
54		JPS		4008		23.9706		23.9716		1		0		1		0		
54		EDG*		21		23.9706		22.4722		1		0		1		0		


55		A*		60800		22.8284		22.8286		1		0		1		0		
55		Dijkstra		75191		22.8284		22.8286		1		0		1		0		
55		JPS		8066		22.8284		22.8286		1		0		1		0		
55		EDG*		21		22.8284		22.0907		1		0		1		0		


56		A*		60578		22.7279		22.7287		1		0		1		0		
56		Dijkstra		76036		22.7279		22.7287		1		0		1		0		
56		JPS		4439		22.7279		22.7287		1		0		1		0		
56		EDG*		19		22.7279		21.0238		1		0		1		0		


57		A*		60379		21.5563		21.5573		1		0		1		0		
57		Dijkstra		74677		21.5563		21.5573		1		0		1		0		
57		JPS		7020		21.5563		21.5573		1		0		1		0		
57		EDG*		19		21.5563		20.2485		1		0		1		0		


58		A*		59936		22.3137		22.3144		1		0		1		0		
